date,income
202012,1.176809
202101,1.3456931
202102,1.2667621
202103,1.2386339
202104,1.3480143
202105,1.3030091
202106,1.3483229
202107,1.3323805
202108,1.6456209
202109,1.5731882
202110,1.6580995
202111,1.8877796
202112,1.7197796
202201,1.5517135
202202,1.6072552
202203,1.6548993
202204,1.4340036
202205,1.3502275
202206,1.3555959
202207,1.3519317
202208,1.3844942
202209,1.2432368
202210,1.224299
202211,1.43183
202212,1.3693055
202301,1.5541129
202302,1.5400018
202303,1.4471238
202304,1.4105087
202305,1.363381
202306,1.3628509
202307,1.5459468
202308,1.4379801
202309,1.4710659
202310,1.4653066
202311,1.4449573
202312,1.4197813
202401,1.4394008
202402,1.4958151
202403,1.5203384
202404,1.6098618
202405,1.5798874
202406,1.3443823
202407,1.3497009
202408,1.2878217
202409,1.518008
202410,1.5656098
202411,1.6296348
202412,1.6299727
202501,1.5679462
202502,1.5726364
202503,1.4561171
202504,1.2863401
202505,1.6097605
202506,1.6130736
202507,1.5649707
202508,1.7205725
202509,1.7978249
202510,1.7547929
202511,1.7449295
202512,1.6407301
