date,code,income
202409,000009,0.27055702917771884
202409,000661,0.35108257804632426
202409,002317,0.21597096188747744
202409,002723,0.219560878243513
202409,600546,0.2063636363636363
202409,600868,0.24571428571428577
202409,601888,0.29177268871925355
202409,603083,0.2740601503759399
202409,603687,0.20719178082191791
202409,603767,0.16517412935323383
202410,002042,0.06849315068493156
202410,002201,0.07968127490039856
202410,002723,-0.018003273322422353
202410,002748,0.08798646362098128
202410,600612,-0.22545633941785892
202410,600654,0.0622568093385214
202410,600868,0.06422018348623837
202410,603083,0.08970197698436122
202410,603687,0.05673758865248235
202410,603767,-0.009393680614859234
202411,000600,-0.021526418786692814
202411,000899,-0.039766081871345005
202411,002867,0.1703561116458132
202411,600600,0.0900970275681503
202411,600872,0.029398663697104643
202411,600884,-0.04385964912280682
202411,600955,-0.004016064257028051
202411,603187,-0.013661202185792365
202411,603728,0.14639351259069566
202411,605296,-0.07163601161665045
202412,000600,0.1060000000000001
202412,000899,0.020706455542021995
202412,002100,-0.024653312788906034
202412,002867,0.1217105263157896
202412,600547,-0.07580778790389398
202412,600884,-0.14564220183486243
202412,601020,-0.12334494773519156
202412,601918,-0.055181695827725474
202412,603187,-0.012003693444136765
202412,605296,-0.050747306221758826
202501,000543,-0.09486166007905139
202501,000993,-0.0023952095808382756
202501,600027,-0.08163265306122436
202501,600301,0.035861258083480285
202501,600547,0.07619901389511452
202501,600759,-0.052863436123348095
202501,600795,-0.08695652173913038
202501,601918,-0.012820512820512775
202501,605116,-0.04944791166586637
202501,605296,-0.083852068839253
202502,000543,0.024745269286754024
202502,000550,-0.016018306636155666
202502,000625,0.030303030303030276
202502,600547,-0.04164931278633899
202502,600759,0.04186046511627928
202502,600795,0.007518796992481036
202502,601918,-0.09956709956709953
202502,603882,0.44227504244482163
202502,605116,-0.0005050505050505638
202502,605296,0.009592326139088891
202503,000543,0.014204545454545414
202503,600312,0.11783854166666674
202503,600547,0.15428074750108633
202503,600795,0.052238805970149516
202503,600886,0.013052936910805002
202503,601088,0.09003415088481836
202503,601857,0.048714479025710355
202503,601918,0.07051282051282048
202503,605116,0.08084891359272373
202503,605296,0.10847189231987331
202504,000537,0.010922330097087318
202504,002192,-0.09483914209115274
202504,002218,-0.08049535603715163
202504,600029,-0.010563380281690127
202504,600312,-0.06988934187536411
202504,600420,-0.03592233009708745
202504,600795,0.007092198581560183
202504,600884,-0.009887005649717562
202504,600886,0.04509663564781663
202504,601918,-0.022455089820359153
202505,000517,-0.016042780748663166
202505,000668,0.627049180327869
202505,000839,0.03891050583657596
202505,002388,0.0893854748603351
202505,002423,-0.03324808184143224
202505,002579,0.05519053876478308
202505,002812,0.003249097472924234
202505,600266,-0.07905982905982911
202505,600643,0.10986547085201792
202505,603936,0.045393858477970506
202506,000517,-0.016304347826086918
202506,000839,-0.0037453183520598232
202506,002129,0.01319261213720302
202506,002240,0.15000000000000013
202506,002812,0.05397625044980203
202506,600221,-0.007407407407407418
202506,600266,0.04176334106728552
202506,600599,0.08625336927223737
202506,600643,0.4989898989898989
202506,603703,0.013685239491691092
202507,000517,0.044198895027624197
202507,000839,0.0
202507,002812,0.00990099009900991
202507,600221,0.10447761194029836
202507,600266,0.020044543429843964
202507,600599,-0.0508684863523573
202507,600707,-0.047987616099071095
202507,603682,0.04856115107913683
202507,603703,-0.0009643201542911539
202507,603717,0.028965517241379413
202508,000517,0.015873015873015817
202508,000839,0.15037593984962405
202508,002042,0.14623655913978495
202508,002138,0.12306101344364007
202508,002630,0.11646586345381515
202508,600221,0.07432432432432434
202508,600266,0.09170305676855883
202508,600707,0.04878048780487809
202508,603703,0.01833976833976836
202508,603717,0.1072386058981234
202509,002282,-0.05277401894451961
202509,002390,0.05555555555555558
202509,002557,-0.043361645060348786
202509,002641,0.02409638554216853
202509,002899,0.06766215585627622
202509,600052,0.1677559912854032
202509,600094,0.3413173652694612
202509,600169,0.11440677966101687
202509,600754,-0.00774860094705121
202509,603278,0.046214355948869246
202510,000523,0.018987341772152
202510,001376,0.011200000000000099
202510,002024,-0.011560693641618491
202510,002282,0.0585714285714285
202510,002557,0.03130841121495331
202510,600335,0.041806020066889715
202510,600727,-0.012064343163538882
202510,600735,0.37593984962406024
202510,600754,-0.023427331887201697
202510,605008,0.2543275632490014
202511,000429,0.036175710594315236
202511,000601,-0.03488372093023251
202511,001965,-0.030214424951267138
202511,600116,-0.03576751117734722
202511,600377,-0.050983248361252786
202511,600872,-0.03181568842567206
202511,600886,-0.04041811846689891
202511,600900,-0.004270462633451988
202511,603057,0.014713896457765552
202511,603517,-0.02052785923753675
