date,type,limit,target,price,count,completed
201912,buy,False,000716,2.84,352100,True
201912,buy,False,603779,5.08,196800,True
201912,buy,False,000550,8.59,116400,True
201912,buy,False,600230,8.8,113600,True
201912,buy,False,000969,5.54,180500,True
201912,buy,False,002896,8.3,120400,True
201912,buy,False,002385,3.84,260400,True
201912,buy,False,002535,2.62,381600,True
201912,buy,False,600963,2.79,358400,True
201912,buy,False,600929,5.55,180100,True
202001,sell,False,000550,8.24,116400,True
202001,sell,False,000716,4.2,352100,True
202001,sell,False,000969,6.31,180500,True
202001,sell,False,002385,5.01,260400,True
202001,sell,False,002535,2.79,381600,True
202001,sell,False,002896,9.38,120400,True
202001,sell,False,600230,9.9,113600,True
202001,sell,False,600929,5.76,180100,True
202001,sell,False,600963,3.05,358400,True
202001,sell,False,603779,6.04,196800,True
202001,buy,False,603779,6.04,190700,True
202001,buy,False,002205,9.02,127700,True
202001,buy,False,601933,7.41,155400,True
202001,buy,False,600293,3.18,362300,True
202001,buy,False,600230,9.9,116300,True
202001,buy,False,002535,2.79,412900,True
202001,buy,False,002896,9.38,122800,True
202001,buy,False,000969,6.31,182500,True
202001,buy,False,600929,5.76,200000,True
202001,buy,False,002228,3.28,351200,True
202002,sell,False,000969,5.89,182500,True
202002,sell,False,002205,7.41,127700,True
202002,sell,False,002228,2.73,351200,True
202002,sell,False,002535,2.43,412900,True
202002,sell,False,002896,8.61,122800,True
202002,sell,False,600230,8.09,116300,True
202002,sell,False,600293,2.71,362300,True
202002,sell,False,600929,5.18,200000,True
202002,sell,False,601933,6.91,155400,True
202002,sell,False,603779,5.54,190700,True
202002,buy,False,603779,5.54,182900,True
202002,buy,False,600293,2.71,373900,True
202002,buy,False,002205,7.41,136700,True
202002,buy,False,600230,8.09,125200,True
202002,buy,False,601933,6.91,146600,True
202002,buy,False,601212,2.98,340000,True
202002,buy,False,002535,2.43,417000,True
202002,buy,False,000560,3.55,285400,True
202002,buy,False,002523,2.54,398900,True
202002,buy,False,600025,2.4,422200,True
202003,sell,False,000560,3.42,285400,True
202003,sell,False,002205,7.76,136700,True
202003,sell,False,002523,2.59,398900,True
202003,sell,False,002535,2.48,417000,True
202003,sell,False,600025,2.5,422200,True
202003,sell,False,600230,8.07,125200,True
202003,sell,False,600293,2.87,373900,True
202003,sell,False,601212,3.04,340000,True
202003,sell,False,601933,8.43,146600,True
202003,sell,False,603779,4.94,182900,True
202003,buy,False,603779,4.94,210800,True
202003,buy,False,002205,7.76,134200,True
202003,buy,False,601212,3.04,342600,True
202003,buy,False,600293,2.87,362900,True
202003,buy,False,002535,2.48,420000,True
202003,buy,False,600230,8.07,129000,True
202003,buy,False,000560,3.42,304600,True
202003,buy,False,600315,24.52,42400,True
202003,buy,False,600929,5.05,206200,True
202003,buy,False,600025,2.5,416700,True
202004,sell,False,000560,3.17,304600,True
202004,sell,False,002205,9.27,134200,True
202004,sell,False,002535,2.21,420000,True
202004,sell,False,600025,2.43,416700,True
202004,sell,False,600230,7.6,129000,True
202004,sell,False,600293,2.67,362900,True
202004,sell,False,600315,23.63,42400,True
202004,sell,False,600929,5.16,206200,True
202004,sell,False,601212,2.77,342600,True
202004,sell,False,603779,5.07,210800,True
202004,buy,False,603779,5.07,200900,True
202004,buy,False,603377,11.85,85900,True
202004,buy,False,002589,5.31,191800,True
202004,buy,False,601212,2.77,367800,True
202004,buy,False,000657,3.64,279800,True
202004,buy,False,002535,2.21,461000,True
202004,buy,False,600293,2.67,381500,True
202004,buy,False,600230,7.6,134000,True
202004,buy,False,600315,23.63,43100,True
202004,buy,False,000560,3.17,321300,True
202005,sell,False,000560,3.25,321300,True
202005,sell,False,000657,3.8,279800,True
202005,sell,False,002535,1.6,461000,True
202005,sell,False,002589,5.04,191800,True
202005,sell,False,600230,7.05,134000,True
202005,sell,False,600293,2.51,381500,True
202005,sell,False,600315,30.95,43100,True
202005,sell,False,601212,2.58,367800,True
202005,sell,False,603377,12.93,85900,True
