日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-05-31,603728,9.96,17.62,23.85,9.96,1583563,4129134452.0,168.77,114.09,9.39,197.95
2017-06-30,603728,17.06,17.54,17.69,15.26,1785290,3920633204.0,13.79,-0.45,-0.08,223.16
2017-07-31,603728,17.49,16.6,19.11,15.76,1361070,3177182199.0,19.1,-5.36,-0.94,170.13
2017-08-31,603728,16.59,18.0,18.2,15.19,994236,2192862577.0,18.13,8.43,1.4,124.28
2017-09-29,603728,17.96,19.3,19.82,16.86,1120898,2685135660.0,16.44,7.22,1.3,140.11
2017-10-31,603728,19.65,17.35,20.09,17.17,674984,1694610628.0,15.13,-10.1,-1.95,84.37
2017-11-30,603728,17.35,17.39,21.09,16.92,835895,2088249600.0,24.03,0.23,0.04,104.49
2017-12-29,603728,17.38,17.88,18.13,15.59,391620,885774068.0,14.61,2.82,0.49,48.95
2018-01-31,603728,17.88,15.23,18.5,15.19,322179,722024390.0,18.51,-14.82,-2.65,40.27
2018-02-28,603728,15.24,15.36,15.66,13.48,185105,362668571.0,14.31,0.85,0.13,23.14
2018-03-30,603728,15.22,15.58,16.72,13.84,301132,623590346.0,18.75,1.43,0.22,37.64
2018-04-27,603728,15.6,14.92,17.27,14.75,242585,507523653.0,16.17,-4.24,-0.66,30.32
2018-05-31,603728,14.36,15.86,17.12,14.36,271160,515483866.0,18.5,6.3,0.94,15.43
2018-06-29,603728,15.83,15.34,17.75,14.15,312874,526727954.0,22.7,-3.28,-0.52,17.8
2018-07-31,603728,15.28,14.46,15.51,13.46,197974,291203399.0,13.36,-5.74,-0.88,11.26
2018-08-31,603728,14.58,13.07,14.73,12.4,167357,237444246.0,16.11,-9.61,-1.39,9.52
2018-09-28,603728,12.83,12.01,12.93,11.64,127481,160755019.0,9.87,-8.11,-1.06,7.25
2018-10-31,603728,11.82,11.46,12.12,10.64,216182,252330141.0,12.32,-4.58,-0.55,12.3
