日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1996-11-29,000656,0.33,0.54,0.86,0.23,325371,424750560.0,3.71,-96.82,-16.45,48.56
1996-12-31,000656,0.5,-0.15,1.2,-0.65,1405723,1854362662.0,342.59,-127.78,-0.69,209.81
1997-01-31,000656,-0.16,-0.19,0.01,-0.48,557575,515557001.5,-326.67,-26.67,-0.04,83.22
1997-02-28,000656,-0.15,-0.1,0.0,-0.28,335563,320049621.0,-147.37,47.37,0.09,50.08
1997-03-31,000656,-0.09,0.0,0.17,-0.12,730865,758107426.0,-290.0,100.0,0.1,109.08
1997-04-30,000656,0.01,-0.26,0.07,-0.3,308043,297448165.5,9750.1,0.0,-0.26,45.98
1997-05-30,000656,-0.25,-0.45,-0.09,-0.8,288639,246425430.0,-273.08,-73.08,-0.19,43.08
1997-06-27,000656,-0.41,-0.67,-0.39,-0.74,195734,133925342.5,-77.78,-48.89,-0.22,26.56
1997-07-31,000656,-0.65,-0.81,-0.65,-0.92,130171,68514737.0,-40.3,-20.9,-0.14,17.66
1997-08-29,000656,-0.81,-0.51,-0.49,-0.82,305903,184689800.75,-40.74,37.04,0.3,41.51
1997-09-30,000656,-0.52,-0.8,-0.46,-0.88,226105,144146255.62,-82.35,-56.86,-0.29,30.68
1997-10-31,000656,-0.81,-0.69,-0.63,-0.82,186303,108017272.38,-23.75,13.75,0.11,25.28
1997-11-28,000656,-0.69,-0.84,-0.67,-0.88,86155,47927428.12,-30.43,-21.74,-0.15,11.69
1997-12-31,000656,-0.84,-0.85,-0.82,-0.93,89012,44960277.44,-13.1,-1.19,-0.01,12.08
1998-01-23,000656,-0.85,-0.8,-0.6,-0.93,233711,132096148.75,-38.82,5.88,0.05,31.71
1998-02-27,000656,-0.78,-0.66,-0.63,-0.81,204536,119079359.38,-22.5,17.5,0.14,27.75
1998-03-31,000656,-0.66,-0.26,-0.23,-0.73,430937,286726556.75,-75.76,60.61,0.4,58.47
1998-04-30,000656,-0.29,-0.09,0.1,-0.32,607243,516619351.0,-161.54,65.38,0.17,82.39
1998-05-29,000656,-0.1,0.15,0.31,-0.15,373802,356778186.0,-511.11,266.67,0.24,50.72
1998-06-30,000656,0.15,-0.31,0.21,-0.31,162003,147514467.5,346.67,-306.67,-0.46,21.98
1998-07-31,000656,-0.29,-0.25,-0.13,-0.4,86691,69754114.25,-87.1,19.35,0.06,11.76
1998-08-31,000656,-0.25,-0.35,-0.09,-0.59,110469,85989765.0,-200.0,-40.0,-0.1,14.99
1998-09-30,000656,-0.4,-0.16,0.01,-0.44,232376,195174805.75,-128.57,54.29,0.19,31.53
1998-10-30,000656,-0.16,-0.01,0.08,-0.23,280590,252946578.75,-193.75,93.75,0.15,38.07
1998-11-30,000656,0.01,-0.15,0.2,-0.19,397454,374015140.5,-3900.0,-1400.0,-0.14,53.93
1998-12-31,000656,-0.15,-0.46,-0.12,-0.51,69179,53930973.69,-260.0,-206.67,-0.31,9.39
1999-01-29,000656,-0.5,-0.47,-0.33,-0.53,63952,44643662.06,-43.48,-2.17,-0.01,8.68
1999-02-09,000656,-0.47,-0.36,-0.21,-0.48,81974,62444390.5,-57.45,23.4,0.11,11.12
1999-03-31,000656,-0.35,-0.16,-0.15,-0.41,158948,128376281.5,-72.22,55.56,0.2,21.57
1999-04-30,000656,-0.16,-0.4,-0.08,-0.48,128150,103234861.25,-250.0,-150.0,-0.24,17.39
1999-05-31,000656,-0.4,-0.45,-0.31,-0.57,83175,59428508.63,-65.0,-12.5,-0.05,11.29
1999-06-30,000656,-0.46,-0.06,0.04,-0.5,542570,452080283.0,-120.0,86.67,0.39,73.62
1999-07-30,000656,-0.07,-0.21,0.14,-0.31,309638,269300789.75,-750.0,-250.0,-0.15,42.01
1999-08-31,000656,-0.22,-0.03,0.0,-0.43,253507,212928254.25,0.0,85.71,0.18,34.4
1999-09-30,000656,-0.03,-0.19,0.1,-0.23,212217,190999598.12,-1100.0,-533.33,-0.16,28.79
1999-10-29,000656,-0.19,-0.26,-0.18,-0.33,47150,37588564.75,-78.95,-36.84,-0.07,6.4
1999-11-30,000656,-0.26,-0.33,-0.25,-0.44,51096,38155059.5,-73.08,-26.92,-0.07,6.93
1999-12-30,000656,-0.49,-0.54,-0.26,-0.56,54029,39557222.38,-90.91,-63.64,-0.21,7.33
2000-01-28,000656,-0.52,-0.66,-0.31,-0.73,169031,112424290.38,-77.78,-22.22,-0.12,22.94
2000-02-29,000656,-0.64,-0.44,-0.27,-0.67,259105,178060277.0,-60.61,33.33,0.22,35.16
2000-03-31,000656,-0.44,0.02,0.05,-0.48,637634,523725124.0,-120.45,104.55,0.46,86.52
2000-04-28,000656,-0.17,0.26,0.81,-0.2,893307,988624296.0,5050.0,1200.0,0.24,121.21
2000-05-31,000656,0.26,0.36,0.55,0.02,262282,279355281.0,203.85,38.46,0.1,35.59
2000-06-30,000656,0.36,0.23,0.49,0.17,264324,282536519.5,88.89,-36.11,-0.13,35.86
2000-07-31,000656,0.22,0.38,0.42,0.02,201683,205928574.0,173.91,65.22,0.15,27.37
2000-08-31,000656,0.38,0.41,0.66,0.29,384644,444393247.0,97.37,7.89,0.03,52.19
2000-09-29,000656,0.4,0.15,0.47,0.1,104726,112172359.0,90.24,-63.41,-0.26,14.21
2000-10-31,000656,0.17,0.26,0.37,0.14,77577,80874080.75,153.33,73.33,0.11,10.53
2000-11-30,000656,0.26,0.56,0.69,0.23,330689,383248882.25,176.92,115.38,0.3,44.87
2000-12-29,000656,0.57,0.32,0.66,0.29,196977,228904224.0,66.07,-42.86,-0.24,26.73
2001-01-19,000656,0.34,0.28,0.45,0.2,79523,85745481.5,78.13,-12.5,-0.04,10.79
2001-02-28,000656,0.28,0.31,0.39,0.13,67363,71752319.38,92.86,10.71,0.03,9.14
2001-03-30,000656,0.32,0.45,0.47,0.29,151049,167341852.5,58.06,45.16,0.14,20.5
2001-04-30,000656,0.48,0.49,0.68,0.29,260769,305097632.0,86.67,8.89,0.04,35.38
