日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-04-30,603818,6.22,11.2,11.2,6.22,7827,15772135.0,117.45,164.15,6.96,1.29
2015-05-29,603818,12.34,36.32,40.39,12.15,2651668,10623014872.0,252.14,224.29,25.12,438.15
2015-06-30,603818,34.75,16.1,36.0,13.78,2753662,13749224894.0,61.18,-55.67,-20.22,455.0
2015-07-31,603818,15.75,14.48,17.14,9.88,2062817,5978013319.0,45.09,-10.06,-1.62,340.85
2015-08-31,603818,14.4,11.52,17.25,10.75,2074331,6308028116.0,44.89,-20.44,-2.96,342.75
2015-09-30,603818,11.25,12.85,15.25,9.28,2303916,3759346630.0,51.82,11.55,1.33,190.34
2015-10-30,603818,13.55,14.88,16.25,13.05,2768891,4177459672.0,24.9,15.8,2.03,228.76
2015-11-30,603818,14.55,21.38,24.55,14.26,4801114,9928919737.0,69.15,43.68,6.5,396.66
2015-12-31,603818,21.31,20.33,23.35,19.38,2461753,5373619004.0,18.57,-4.91,-1.05,203.38
2016-01-29,603818,20.0,12.14,20.25,11.65,1198538,1831503854.0,42.3,-40.29,-8.19,99.02
2016-02-29,603818,12.14,11.58,14.64,11.35,974743,1319836076.0,27.1,-4.61,-0.56,80.53
2016-03-31,603818,11.63,15.33,16.84,11.49,2203802,3248749393.0,46.2,32.38,3.75,182.07
2016-04-29,603818,15.23,13.74,16.15,13.27,1341139,2043618697.0,18.79,-10.37,-1.59,101.9
2016-05-31,603818,13.83,14.75,14.91,12.38,1112160,1555075188.0,18.41,7.35,1.01,84.51
2016-06-30,603818,14.65,15.8,16.28,13.04,1441327,2185471165.0,21.97,7.12,1.05,109.52
2016-07-29,603818,15.7,15.84,17.43,15.17,900966,1520241916.0,14.3,0.25,0.04,68.46
2016-08-31,603818,15.7,19.73,21.28,15.42,1507643,2928087471.0,36.99,24.56,3.89,114.56
2016-09-30,603818,19.69,20.11,20.61,18.3,566905,1117228146.0,11.71,1.93,0.38,43.08
2016-10-31,603818,19.96,18.42,20.51,17.87,746867,1419799113.0,13.13,-8.4,-1.69,56.75
2016-11-30,603818,18.32,18.44,20.4,18.3,885406,1732154514.0,11.4,0.11,0.02,67.28
2016-12-30,603818,18.41,17.25,18.62,16.8,338696,607377093.0,9.87,-6.45,-1.19,25.74
2017-01-26,603818,17.25,15.49,18.28,15.06,350462,588894960.0,18.67,-10.2,-1.76,26.63
2017-02-28,603818,15.5,16.15,16.59,15.4,410925,662896714.0,7.68,4.26,0.66,31.22
2017-03-31,603818,16.22,16.49,18.18,15.76,912412,1575945242.0,14.98,2.11,0.34,69.33
2017-04-28,603818,16.8,17.6,17.95,15.6,496510,844645108.0,14.25,6.73,1.11,37.73
2017-05-31,603818,17.5,15.45,17.7,14.56,329273,546634101.0,17.84,-12.22,-2.15,25.02
2017-06-30,603818,15.44,15.81,15.98,14.42,326299,502079071.0,10.1,2.33,0.36,24.79
2017-07-31,603818,15.78,15.33,16.22,14.9,259885,408077455.0,8.35,-3.04,-0.48,19.75
2017-08-31,603818,15.39,15.98,16.06,14.92,303004,473283851.0,7.44,4.24,0.65,23.02
2017-09-29,603818,15.86,15.12,17.53,14.89,431789,691168250.0,16.52,-5.38,-0.86,32.81
2017-10-31,603818,15.27,14.29,15.38,14.08,336918,503666562.0,8.6,-5.49,-0.83,25.6
2017-11-30,603818,14.29,13.14,14.42,12.39,318190,434098693.0,14.21,-8.05,-1.15,24.18
2017-12-29,603818,13.12,14.44,14.56,13.12,313596,443495984.0,10.96,9.89,1.3,23.83
2018-01-31,603818,14.28,13.05,14.66,12.93,272546,378890906.0,11.98,-9.63,-1.39,20.71
2018-02-28,603818,13.22,13.1,13.72,12.03,261778,341752052.0,12.95,0.38,0.05,19.89
2018-03-30,603818,13.03,13.69,14.06,12.46,311254,420954910.0,12.21,4.5,0.59,23.65
2018-04-24,603818,13.69,13.35,14.66,12.84,266075,371741761.0,13.29,-2.48,-0.34,20.22
2018-06-29,603818,14.7,11.74,14.7,11.19,429067,560438043.0,26.29,-12.06,-1.61,8.86
2018-07-31,603818,11.78,10.2,11.79,9.74,455551,469392776.0,17.46,-13.12,-1.54,9.41
2018-08-31,603818,10.21,8.02,10.46,7.74,616478,532223088.0,26.67,-21.37,-2.18,12.73
2018-09-28,603818,7.99,7.66,8.01,7.08,494161,373564687.0,11.6,-4.49,-0.36,10.21
2018-10-31,603818,7.56,6.64,7.63,6.25,420346,285668523.0,18.02,-13.32,-1.02,8.68
2018-11-30,603818,6.69,6.86,7.73,6.59,578567,414845091.0,17.17,3.31,0.22,11.95
2018-12-28,603818,6.98,6.68,7.46,6.52,328204,227098058.0,13.7,-2.62,-0.18,6.78
2019-01-31,603818,6.68,6.64,7.08,6.33,255600,173979945.0,11.23,-0.6,-0.04,5.28
2019-02-28,603818,6.66,7.94,8.23,6.64,385966,292147820.0,23.95,19.58,1.3,7.97
2019-03-29,603818,7.97,9.23,9.38,7.68,766905,648271801.0,21.41,16.25,1.29,15.84
2019-04-30,603818,9.22,7.78,9.69,7.55,614152,546099213.0,23.19,-15.71,-1.45,12.69
2019-05-31,603818,7.71,7.26,8.03,7.09,236136,179136117.0,12.08,-6.68,-0.52,4.88
2019-06-28,603818,7.16,7.58,8.1,6.99,149841,111812189.0,15.29,4.41,0.32,3.1
2019-07-31,603818,7.63,6.99,8.73,6.84,426194,331605057.0,24.93,-7.78,-0.59,8.8
2019-08-30,603818,6.94,6.99,7.8,6.53,197945,139648908.0,18.17,0.0,0.0,4.09
2019-09-30,603818,7.0,7.08,7.91,7.0,271211,202037432.0,13.02,1.29,0.09,5.6
2019-10-31,603818,7.14,7.13,7.71,6.84,222671,160987336.0,12.29,0.71,0.05,4.6
2019-11-29,603818,7.22,8.04,8.06,7.07,294064,221508964.0,13.88,12.76,0.91,6.07
2019-12-31,603818,8.11,8.34,8.47,7.83,497023,404911832.0,7.96,3.73,0.3,10.27
2020-01-23,603818,8.33,7.65,8.53,7.6,302274,245809600.0,11.15,-8.27,-0.69,6.24
2020-02-28,603818,6.88,7.17,7.52,6.19,442043,315968834.0,17.39,-6.27,-0.48,9.13
2020-03-31,603818,7.17,6.72,8.06,6.42,569377,415945231.0,22.87,-6.28,-0.45,11.76
2020-04-30,603818,6.72,7.03,7.13,6.48,258717,175379124.0,9.67,4.61,0.31,5.34
2020-05-29,603818,6.98,7.96,8.44,6.86,539624,418942756.0,22.48,13.23,0.93,11.15
2020-06-30,603818,7.9,8.85,9.02,7.76,540676,445638033.0,15.83,11.18,0.89,11.17
2020-07-31,603818,8.85,10.08,10.37,8.49,1300713,1230120422.0,21.24,13.9,1.23,26.87
2020-08-31,603818,10.08,10.94,11.68,9.66,1066974,1149191834.0,20.04,8.53,0.86,22.04
2020-09-30,603818,10.92,9.45,11.08,9.06,533546,534816214.0,18.46,-13.62,-1.49,11.02
2020-10-30,603818,9.54,9.94,11.17,9.54,544557,572841394.0,17.25,5.19,0.49,11.25
2020-11-30,603818,9.93,9.56,10.76,9.56,545620,557794250.0,12.07,-3.82,-0.38,11.27
2020-12-31,603818,9.66,8.4,10.26,7.98,568402,526047843.0,23.85,-12.13,-1.16,11.74
2021-01-29,603818,8.4,7.14,8.47,6.83,852294,645713830.0,19.52,-15.0,-1.26,14.68
2021-02-26,603818,7.14,7.26,7.97,7.03,824490,617903923.0,13.17,1.68,0.12,14.21
2021-03-31,603818,7.22,9.28,9.6,7.06,2354093,1988220924.0,34.99,27.82,2.02,40.56
2021-04-30,603818,9.18,9.57,10.33,9.03,1547400,1491696714.0,14.01,3.13,0.29,26.66
2021-05-31,603818,9.64,8.94,9.82,8.28,955691,853893618.0,16.09,-6.58,-0.63,16.47
2021-06-30,603818,8.98,8.86,10.23,8.81,941170,907146181.0,15.88,-0.89,-0.08,16.22
2021-07-30,603818,8.87,10.14,10.17,8.71,1092050,1027498840.0,16.48,14.45,1.28,18.82
2021-08-31,603818,10.02,9.54,10.96,9.5,1096852,1129694978.0,14.4,-5.92,-0.6,18.9
2021-09-30,603818,9.48,9.24,10.13,8.93,636753,615735491.0,12.58,-3.14,-0.3,10.97
2021-10-29,603818,9.41,8.57,9.87,8.33,268942,242664864.0,16.67,-7.25,-0.67,4.63
2021-11-30,603818,8.53,10.38,10.52,7.94,677635,644713689.0,30.11,21.12,1.81,11.68
2021-12-31,603818,10.47,14.17,14.43,10.34,2430190,3008985098.0,39.4,36.51,3.79,41.87
