日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-31,688328,45.05,29.28,55.94,29.16,592978,2298562624.0,168.64,84.38,13.4,359.53
2021-04-30,688328,29.58,34.71,37.89,28.65,371358,1196931627.0,31.56,18.55,5.43,225.16
2021-05-31,688328,34.19,38.5,43.37,32.75,491862,1836108254.0,30.6,10.92,3.79,298.22
2021-06-30,688328,38.84,40.06,41.09,34.72,366983,1401820457.0,16.55,4.05,1.56,209.82
2021-07-30,688328,39.69,43.61,50.57,37.5,586430,2574716996.0,32.63,8.86,3.55,335.29
2021-08-31,688328,44.31,39.99,55.47,39.19,408892,1870105397.0,37.33,-8.3,-3.62,233.79
2021-09-30,688328,39.89,31.45,40.18,30.74,158671,580573685.0,23.61,-21.36,-8.54,87.1
2021-10-29,688328,32.07,33.82,35.63,31.69,118423,403294251.0,12.53,7.54,2.37,65.0
2021-11-30,688328,33.79,45.43,48.69,33.45,283565,1185971112.0,45.06,34.33,11.61,155.65
2021-12-31,688328,45.44,43.06,55.02,41.34,295098,1384534701.0,30.11,-5.22,-2.37,169.28
2022-01-28,688328,42.29,33.61,43.2,33.04,123749,469091628.0,23.59,-21.95,-9.45,70.99
2022-02-28,688328,34.29,31.21,34.43,30.22,100635,325856004.0,12.53,-7.14,-2.4,57.73
2022-03-31,688328,31.68,25.54,31.95,24.94,166685,466440287.0,22.46,-18.17,-5.67,35.39
2022-04-29,688328,25.36,19.64,25.91,17.09,95337,215107223.0,34.53,-23.1,-5.9,20.24
2022-05-31,688328,19.07,21.17,21.49,18.4,91964,189258981.0,15.73,7.79,1.53,19.53
2022-06-30,688328,21.24,25.05,29.89,20.79,467888,1183068338.0,42.99,18.33,3.88,98.81
2022-07-29,688328,24.92,26.41,26.78,22.41,159412,387345458.0,17.45,5.43,1.36,33.67
2022-08-31,688328,26.3,25.65,40.15,24.9,1320017,4415392795.0,57.74,-2.88,-0.76,278.78
2022-09-30,688328,25.85,20.89,27.78,20.88,319841,793515251.0,26.9,-18.56,-4.76,67.55
2022-10-31,688328,21.0,21.35,24.24,19.71,255588,567661712.0,21.69,2.2,0.46,53.98
2022-11-30,688328,21.54,20.3,23.78,20.21,317489,710175403.0,16.72,-4.92,-1.05,67.05
2022-12-30,688328,20.67,20.56,23.57,19.9,398154,858093645.0,18.08,1.28,0.26,84.09
2023-01-31,688328,20.42,22.22,22.99,20.35,200071,438315504.0,12.84,8.07,1.66,41.79
2023-02-28,688328,22.21,22.66,25.75,22.21,308609,740820139.0,15.93,1.98,0.44,65.26
2023-03-31,688328,22.6,24.7,27.27,22.53,545049,1377303142.0,20.92,9.0,2.04,113.3
2023-04-28,688328,24.58,21.12,27.49,20.47,466694,1171713943.0,28.42,-14.49,-3.58,97.01
2023-05-31,688328,21.05,22.53,22.59,19.2,197405,412846230.0,16.05,6.68,1.41,41.03
2023-06-30,688328,22.18,33.38,34.39,21.98,647685,1694469458.0,55.08,48.16,10.85,134.63
2023-07-31,688328,34.21,23.29,36.3,23.26,943293,2786336806.0,39.07,-30.23,-10.09,196.08
2023-08-31,688328,23.67,25.37,25.58,20.6,504763,1165947492.0,21.38,8.93,2.08,104.92
2023-09-28,688328,25.08,24.44,27.1,22.56,569407,1415100099.0,17.9,-3.67,-0.93,118.36
2023-10-31,688328,25.01,25.36,27.25,22.44,497897,1241504422.0,19.68,3.76,0.92,103.49
2023-11-30,688328,25.75,35.53,37.25,24.43,1420622,4612513256.0,50.55,40.1,10.17,295.3
2023-12-29,688328,35.9,44.75,46.44,34.0,1199096,4811416014.0,35.01,25.95,9.22,249.25
2024-01-31,688328,44.9,24.5,45.3,23.85,1227152,4034728206.0,47.93,-45.25,-20.25,199.46
2024-02-29,688328,24.08,20.48,24.21,14.11,1671233,3288207126.0,41.22,-16.41,-4.02,271.64
2024-03-29,688328,20.83,18.38,23.35,17.64,1547831,3182692839.0,27.88,-10.25,-2.1,163.87
2024-04-30,688328,18.37,16.11,19.28,13.11,839294,1338627404.0,33.57,-12.35,-2.27,88.86
2024-05-31,688328,16.2,15.64,16.67,14.41,489129,760471550.0,14.03,-2.92,-0.47,51.78
2024-06-28,688328,15.8,14.13,17.39,12.52,1029423,1514031779.0,31.14,-9.65,-1.51,108.98
2024-07-31,688328,14.1,12.83,14.18,11.56,563982,722600270.0,18.54,-9.2,-1.3,59.71
2024-08-30,688328,12.94,12.85,13.32,11.33,480101,593351143.0,15.51,0.16,0.02,50.83
2024-09-30,688328,12.66,15.85,15.97,11.42,414757,537455332.0,35.41,23.35,3.0,43.91
2024-10-31,688328,18.0,18.39,21.3,15.21,1201599,2127702509.0,38.42,16.03,2.54,127.21
2024-11-29,688328,18.2,17.88,21.22,16.6,1008698,1885334810.0,25.12,-2.77,-0.51,106.79
