日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1997-01-31,600785,-0.13,-0.09,0.11,-0.14,540333,511774000.0,-23.36,91.59,0.98,235.44
1997-02-28,600785,-0.09,-0.18,-0.08,-0.36,110475,93329000.0,-311.11,-100.0,-0.09,48.14
1997-03-31,600785,-0.18,-0.2,-0.01,-0.26,273041,244582000.0,-138.89,-11.11,-0.02,118.97
1997-04-30,600785,-0.2,0.15,0.24,-0.2,343829,329029000.0,-220.0,175.0,0.35,149.82
1997-05-30,600785,0.15,-0.06,0.5,-0.26,182018,195980000.0,506.67,-140.0,-0.21,79.31
1997-06-27,600785,-0.03,0.21,0.25,-0.34,188341,182947000.0,-983.33,450.0,0.27,82.07
1997-07-31,600785,0.19,0.27,0.3,-0.12,174957,178911000.0,200.0,28.57,0.06,68.61
1997-08-29,600785,0.27,0.09,0.39,0.06,162724,175288000.0,122.22,-66.67,-0.18,63.81
1997-09-30,600785,0.09,-0.11,0.26,-0.28,80626,79409000.0,600.0,-222.22,-0.2,31.62
1997-10-31,600785,-0.12,-0.14,0.02,-0.17,56505,51289000.0,-172.73,-27.27,-0.03,22.16
1997-11-28,600785,-0.14,-0.17,0.01,-0.22,43523,39087359.0,-164.29,-21.43,-0.03,17.07
1997-12-31,600785,-0.22,0.08,0.11,-0.22,72458,68577000.0,-194.12,147.06,0.25,28.41
1998-01-23,600785,0.07,0.18,0.23,-0.07,71023,71310000.0,375.0,125.0,0.1,27.85
1998-02-27,600785,0.21,0.47,0.64,0.18,199575,238495000.0,255.56,161.11,0.29,78.26
1998-03-31,600785,0.39,0.24,0.53,0.1,107172,108277000.0,91.49,-48.94,-0.23,28.02
1998-04-30,600785,0.24,0.47,0.6,0.18,413295,321801000.0,175.0,95.83,0.23,108.05
1998-05-29,600785,0.49,1.07,1.1,0.43,377169,327533000.0,142.55,127.66,0.6,98.61
1998-06-30,600785,1.09,0.57,1.1,0.47,186451,169842000.0,58.88,-46.73,-0.5,48.75
1998-07-31,600785,0.63,0.69,0.8,0.37,120808,100898000.0,75.44,21.05,0.12,31.58
1998-08-31,600785,0.69,0.78,1.01,0.53,287836,264690000.0,69.57,13.04,0.09,75.25
1998-09-30,600785,0.78,1.06,1.32,0.62,369537,360080000.0,89.74,35.9,0.28,96.61
1998-10-30,600785,1.06,0.73,1.2,0.7,168395,162775000.0,47.17,-31.13,-0.33,44.02
1998-11-30,600785,0.73,0.77,0.92,0.69,91544,83270000.0,31.51,5.48,0.04,23.93
1998-12-31,600785,0.74,0.44,0.79,0.31,75441,61242000.0,62.34,-42.86,-0.33,19.72
1999-01-29,600785,0.45,0.45,0.56,0.27,52057,40727000.0,65.91,2.27,0.01,13.61
1999-02-09,600785,0.44,0.5,0.61,0.38,38970,31603000.0,51.11,11.11,0.05,10.19
1999-03-31,600785,0.49,0.72,0.85,0.47,160842,141857000.0,76.0,44.0,0.22,42.05
1999-04-30,600785,0.78,0.58,0.92,0.43,85446,76144200.0,68.06,-19.44,-0.14,22.34
1999-05-31,600785,0.59,0.57,0.75,0.27,105356,84890000.0,82.76,-1.72,-0.01,27.54
1999-06-30,600785,0.54,2.03,2.12,0.49,479985,506434000.0,285.96,256.14,1.46,125.49
1999-07-30,600785,1.97,1.91,2.07,1.19,176881,214382665.0,43.35,-5.91,-0.12,46.24
1999-08-31,600785,2.01,2.4,2.5,1.81,217910,296038000.0,36.13,25.65,0.49,56.97
1999-09-30,600785,2.5,2.45,2.74,2.12,83493,122713779.0,25.83,2.08,0.05,21.83
1999-10-29,600785,2.42,1.95,2.47,1.76,22946,30626000.0,28.98,-20.41,-0.5,6.0
1999-11-30,600785,2.06,1.59,2.06,1.48,20171,24160000.0,29.74,-18.46,-0.36,4.06
1999-12-30,600785,1.63,1.38,1.72,1.32,21704,21744000.0,25.16,-13.21,-0.21,4.37
2000-01-28,600785,1.39,2.58,2.74,1.29,120593,138566000.0,105.07,86.96,1.2,24.27
2000-02-29,600785,2.74,3.03,3.95,2.62,235065,339788000.0,51.55,17.44,0.45,47.3
2000-03-31,600785,3.04,3.12,3.34,2.28,196134,270521000.0,34.98,2.97,0.09,39.47
2000-04-28,600785,3.22,3.42,3.72,2.85,157326,231712148.0,27.88,9.62,0.3,31.66
2000-05-31,600785,3.5,4.19,4.26,3.02,155587,243325000.0,36.26,22.51,0.77,31.31
2000-06-30,600785,4.15,3.63,4.25,3.54,95137,152802000.0,16.95,-13.37,-0.56,19.14
2000-07-31,600785,3.55,3.82,3.9,3.2,91628,139916286.0,19.28,5.23,0.19,18.44
2000-08-31,600785,3.73,4.1,4.78,3.35,210957,350952000.0,37.43,7.33,0.28,42.45
2000-09-29,600785,4.05,3.66,4.41,3.58,87868,144825000.0,20.24,-10.73,-0.44,17.68
2000-10-31,600785,3.82,3.95,4.2,3.6,70983,115597000.0,16.39,7.92,0.29,14.28
2000-11-30,600785,3.92,4.09,4.41,3.84,84259,140856000.0,14.43,3.54,0.14,16.96
2000-12-29,600785,4.06,4.58,4.97,4.05,155373,275993385.0,22.49,11.98,0.49,31.27
2001-01-19,600785,4.6,4.19,5.06,3.65,89331,157708000.0,30.79,-8.52,-0.39,17.98
2001-02-28,600785,4.19,3.68,4.19,3.41,39458,61349000.0,18.62,-12.17,-0.51,7.94
2001-03-30,600785,3.71,4.03,4.16,3.61,86324,139647000.0,14.95,9.51,0.35,17.37
2001-04-30,600785,4.03,4.57,4.76,3.84,185439,316656000.0,22.83,13.4,0.54,37.32
2001-05-31,600785,4.58,5.89,6.14,4.49,242843,471597301.0,36.11,28.88,1.32,48.87
2001-06-29,600785,5.84,5.08,6.0,4.83,152561,302587000.0,19.86,-13.75,-0.81,30.7
2001-07-31,600785,5.08,3.76,5.21,3.76,59547,107602679.0,28.54,-25.98,-1.32,11.98
2001-08-31,600785,3.77,4.04,4.72,3.72,81794,141181000.0,26.6,7.45,0.28,16.46
2001-09-28,600785,4.03,3.11,4.34,2.94,46591,72154000.0,34.65,-23.02,-0.93,9.38
2001-10-31,600785,3.09,3.09,3.4,2.24,134502,172447000.0,37.3,-0.64,-0.02,20.82
2001-11-30,600785,3.09,3.4,3.46,2.33,179376,234368777.0,36.57,10.03,0.31,27.77
2001-12-31,600785,3.41,3.5,3.58,2.77,144600,195398504.0,23.82,2.94,0.1,22.38
2002-01-31,600785,3.45,2.11,3.45,1.38,129165,147642842.0,59.14,-39.71,-1.39,19.99
2002-02-28,600785,2.14,2.36,2.55,2.02,60001,70132861.0,25.12,11.85,0.25,9.29
2002-03-29,600785,2.34,2.32,2.9,2.1,148623,183263895.0,33.9,-1.69,-0.04,23.01
2002-04-30,600785,2.3,2.84,2.95,2.17,151573,188132328.0,33.62,22.41,0.52,23.46
2002-05-31,600785,2.87,2.26,2.9,2.17,66175,79385120.0,25.7,-20.42,-0.58,10.24
2002-06-28,600785,2.22,2.62,2.96,1.86,121145,146581279.0,48.67,15.93,0.36,18.75
2002-07-31,600785,2.61,2.47,2.84,2.37,68740,83665013.0,17.94,-5.73,-0.15,10.64
2002-08-30,600785,2.47,2.75,2.89,2.38,102458,127563761.0,20.65,11.34,0.28,15.86
2002-09-27,600785,2.73,2.34,2.85,2.32,48755,58682076.0,19.27,-14.91,-0.41,7.55
2002-10-31,600785,2.27,2.14,2.39,1.96,34023,38373318.0,18.38,-8.55,-0.2,5.27
2002-11-29,600785,2.14,1.77,2.31,1.51,58588,64115339.0,37.38,-17.29,-0.37,9.07
2002-12-31,600785,1.78,1.52,1.87,1.51,31020,32185726.0,20.34,-14.12,-0.25,4.8
2003-01-29,600785,1.5,2.15,2.27,1.33,102122,108154414.0,61.84,41.45,0.63,15.81
2003-02-28,600785,2.12,1.98,2.14,1.83,27640,30204080.0,14.42,-7.91,-0.17,4.28
