日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-11-29,300796,6.6,10.42,13.39,6.6,912390,2649158229.0,124.13,90.49,4.95,301.12
2019-12-31,300796,10.18,9.59,11.17,9.15,1438543,3710226362.0,19.39,-7.97,-0.83,474.77
2020-01-23,300796,9.59,8.73,10.19,8.55,506336,1270523768.0,17.1,-8.97,-0.86,167.11
2020-02-28,300796,7.84,7.74,9.38,7.04,561510,1226553779.0,26.8,-11.34,-0.99,185.32
2020-03-31,300796,7.78,8.97,9.2,7.16,562799,1212662702.0,26.36,15.89,1.23,185.74
2020-04-30,300796,8.79,7.47,9.93,7.03,740644,1665656454.0,32.33,-16.72,-1.5,244.44
2020-05-29,300796,7.36,7.64,8.21,7.3,321904,649571819.0,12.18,2.28,0.17,106.24
2020-06-30,300796,7.67,7.92,8.11,7.58,274682,558008079.0,6.94,3.66,0.28,90.65
2020-07-31,300796,7.93,8.1,8.63,7.75,456180,962856963.0,11.11,2.27,0.18,150.55
2020-08-31,300796,8.05,8.26,8.77,7.74,366663,777714660.0,12.72,1.98,0.16,121.01
2020-09-30,300796,8.31,8.35,10.76,8.07,835735,1933777073.0,32.57,1.09,0.09,275.82
2020-10-30,300796,8.43,9.41,10.17,8.38,397194,970876750.0,21.44,12.69,1.06,131.09
2020-11-30,300796,9.52,8.96,11.24,8.78,587483,1519095784.0,26.14,-4.78,-0.45,94.98
2020-12-31,300796,8.97,7.49,9.71,7.41,219223,483301639.0,25.67,-16.41,-1.47,35.44
2021-01-29,300796,7.48,6.44,7.69,6.24,161417,282522717.0,19.36,-14.02,-1.05,26.1
2021-02-26,300796,6.38,6.93,7.25,5.62,121150,204412602.0,25.31,7.61,0.49,19.59
2021-03-31,300796,6.99,8.53,8.78,6.35,303149,599738387.0,35.06,23.09,1.6,49.01
2021-04-30,300796,8.48,7.73,8.98,7.51,354524,755558640.0,17.23,-9.38,-0.8,57.32
2021-05-31,300796,7.86,7.37,8.0,6.77,148781,281207036.0,15.91,-4.66,-0.36,24.05
