日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2007-01-31,002108,0.21,0.1,0.27,0.08,171975,310545755.39,-47.5,125.0,0.5,119.43
2007-02-28,002108,0.1,0.12,0.17,0.08,116995,204044369.2,90.0,20.0,0.02,81.25
2007-03-30,002108,0.13,0.2,0.24,0.09,192643,345813071.93,125.0,66.67,0.08,133.78
2007-04-30,002108,0.19,0.3,0.45,0.19,295172,600289177.65,130.0,50.0,0.1,163.99
2007-05-31,002108,0.33,0.46,0.47,0.26,243292,493705594.46,70.0,53.33,0.16,135.17
2007-06-29,002108,0.47,0.29,0.99,0.28,533792,1332723536.02,154.35,-36.96,-0.17,296.56
2007-07-31,002108,0.29,0.4,0.44,0.14,113142,219420249.2,103.45,37.93,0.11,62.86
2007-08-31,002108,0.4,0.38,0.43,0.24,181639,364857767.74,47.5,-5.0,-0.02,100.91
2007-09-28,002108,0.38,0.35,0.53,0.26,174308,361901030.17,71.05,-7.89,-0.03,96.84
2007-10-31,002108,0.35,0.13,0.42,0.03,95944,180370729.05,111.43,-62.86,-0.22,53.3
2007-11-30,002108,0.13,0.06,0.13,0.02,54974,89572238.06,84.62,-53.85,-0.07,30.54
2007-12-28,002108,0.06,0.23,0.27,0.05,76069,132571316.2,366.67,283.33,0.17,42.26
2008-01-31,002108,0.24,0.16,0.38,0.07,108077,202678559.1,134.78,-30.43,-0.07,33.41
2008-02-29,002108,0.13,0.18,0.27,0.11,40753,73240836.08,100.0,12.5,0.02,12.6
2008-03-31,002108,0.17,-0.01,0.23,-0.04,51180,86234705.15,150.0,-105.56,-0.19,15.82
2008-04-30,002108,-0.03,-0.06,-0.01,-0.25,42161,57847541.71,-2400.0,-500.0,-0.05,13.03
2008-05-30,002108,-0.05,-0.1,0.02,-0.13,62065,90017397.42,-250.0,-66.67,-0.04,19.18
2008-06-30,002108,-0.11,-0.23,-0.04,-0.28,46355,58653162.55,-240.0,-130.0,-0.13,14.33
2008-07-31,002108,-0.24,-0.17,-0.1,-0.25,59792,74309192.96,-65.22,26.09,0.06,18.48
2008-08-29,002108,-0.17,-0.37,-0.08,-0.41,66540,79425032.79,-194.12,-117.65,-0.2,20.57
2008-09-26,002108,-0.38,-0.41,-0.34,-0.5,27655,25401814.54,-43.24,-10.81,-0.04,8.55
2008-10-31,002108,-0.41,-0.5,-0.4,-0.52,19117,15747609.94,-29.27,-21.95,-0.09,5.91
2008-11-28,002108,-0.5,-0.43,-0.35,-0.51,67189,60906895.03,-32.0,14.0,0.07,20.77
2008-12-31,002108,-0.43,-0.27,-0.24,-0.43,223565,232335750.85,-44.19,37.21,0.16,69.1
2009-01-23,002108,-0.26,-0.13,-0.11,-0.26,212375,263143122.23,-55.56,51.85,0.14,65.64
2009-02-27,002108,-0.12,-0.18,0.01,-0.18,267551,368612555.0,-146.15,-38.46,-0.05,82.7
2009-03-31,002108,-0.18,0.02,0.23,-0.2,374893,568800990.9,-238.89,111.11,0.2,115.88
2009-04-30,002108,0.02,0.28,0.6,0.02,411270,772751072.7,2900.0,1300.0,0.26,127.12
2009-05-27,002108,0.28,0.36,0.42,0.19,250457,485453160.46,82.14,28.57,0.08,77.42
2009-06-30,002108,0.37,0.37,0.55,0.28,247808,487625083.61,75.0,2.78,0.01,63.83
2009-07-31,002108,0.38,0.65,0.76,0.37,426149,807208438.52,105.41,75.68,0.28,109.77
2009-08-31,002108,0.66,0.62,0.88,0.55,405740,833149461.64,50.77,-4.62,-0.03,104.51
2009-09-29,002108,0.59,0.76,1.2,0.58,504633,1121264010.06,100.0,22.58,0.14,129.98
2009-10-30,002108,0.8,1.22,1.38,0.79,473746,1212602801.01,77.63,60.53,0.46,122.03
2009-11-30,002108,1.17,1.43,1.59,1.15,370450,1053505293.9,36.07,17.21,0.21,95.42
2009-12-31,002108,1.43,2.14,2.17,1.41,528477,1713235444.03,53.15,49.65,0.71,136.13
2010-01-29,002108,2.13,1.85,2.25,1.76,349884,1247853292.69,22.9,-13.55,-0.29,42.41
2010-02-26,002108,1.83,1.6,1.85,1.39,171757,522047094.73,24.86,-13.51,-0.25,20.82
2010-03-31,002108,1.6,1.66,1.85,1.3,551223,1689699983.58,34.38,3.75,0.06,56.84
2010-04-30,002108,1.65,1.17,1.91,1.12,555694,1739958355.73,47.59,-29.52,-0.49,57.3
2010-05-31,002108,1.12,0.82,1.29,0.65,403267,665230986.45,54.7,-29.91,-0.35,24.46
2010-06-30,002108,0.79,1.47,1.47,0.7,978453,1420470446.83,93.9,79.27,0.65,59.35
2010-07-30,002108,1.4,1.44,1.62,1.28,1820320,3083824719.2,23.13,-2.04,-0.03,110.42
2010-08-31,002108,1.43,1.88,2.01,1.43,1578300,3006200231.13,40.28,30.56,0.44,95.74
2010-09-30,002108,1.88,1.53,1.88,1.47,603914,1115023842.57,21.81,-18.62,-0.35,36.63
