日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-03-29,600928,4.57,10.7,12.89,4.57,25882027,30037906808.0,229.2,194.77,7.07,582.35
2019-04-30,600928,10.95,8.15,11.86,8.08,13593264,15595875077.0,35.33,-23.83,-2.55,305.85
2019-05-31,600928,7.82,7.37,8.71,6.83,5901938,5163055093.0,23.07,-9.57,-0.78,132.79
2019-06-28,600928,7.35,7.17,7.68,6.65,4555645,3772662163.0,13.98,-2.71,-0.2,102.5
2019-07-31,600928,7.35,6.16,7.39,6.14,2866358,2202232232.0,17.43,-14.09,-1.01,64.49
2019-08-30,600928,6.12,5.68,6.15,5.44,3442206,2304869273.0,11.53,-7.79,-0.48,77.45
2019-09-30,600928,5.68,6.31,7.85,5.66,9582824,7425811802.0,38.56,11.09,0.63,215.61
2019-10-31,600928,6.24,5.95,7.09,5.94,4609903,3431568704.0,18.23,-5.71,-0.36,103.72
2019-11-29,600928,5.98,5.82,6.18,5.7,2046003,1394500263.0,8.07,-2.18,-0.13,46.04
2019-12-31,600928,5.83,6.88,7.31,5.73,6205114,4546571365.0,27.15,18.21,1.06,139.62
2020-01-23,600928,7.15,5.98,7.27,5.87,3017065,2254905819.0,20.35,-13.08,-0.9,67.88
2020-02-28,600928,5.29,5.28,6.09,4.8,5242310,3395145939.0,21.57,-11.71,-0.7,117.95
2020-03-31,600928,5.13,4.62,5.63,4.61,4387206,2661136566.0,19.32,-12.5,-0.66,37.96
2020-04-30,600928,4.63,4.54,4.76,4.3,2279573,1254099203.0,9.96,-1.73,-0.08,19.73
2020-05-29,600928,4.5,4.32,4.62,4.29,1672067,888313708.0,7.27,-4.85,-0.22,14.47
2020-06-30,600928,4.34,4.56,4.71,4.33,2498041,1304259327.0,8.8,5.56,0.24,21.62
2020-07-31,600928,4.55,4.93,5.96,4.51,8551604,5129094067.0,31.8,8.11,0.37,74.0
