日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-03-31,603012,8.98,12.12,13.51,8.98,853176,2264788827.0,75.5,102.0,6.12,107.18
2015-04-30,603012,12.17,12.83,13.45,12.03,2170751,5816088663.0,11.72,5.86,0.71,272.71
2015-05-29,603012,12.72,23.46,27.91,11.47,3256154,12034321323.0,128.14,82.85,10.63,409.06
2015-06-30,603012,22.72,14.03,23.97,12.09,2492231,9792829423.0,50.64,-40.2,-9.43,313.09
2015-07-31,603012,14.51,12.91,16.23,12.03,2169493,6553885264.0,29.94,-7.98,-1.12,272.55
2015-08-31,603012,12.52,9.3,14.76,8.77,1445171,3881954490.0,46.4,-27.96,-3.61,181.55
2015-09-30,603012,9.12,8.2,9.32,7.12,925596,1667050114.0,23.66,-11.83,-1.1,116.28
2015-10-30,603012,8.59,9.51,10.12,8.42,1173114,2358218463.0,20.73,15.98,1.31,147.38
2015-11-30,603012,9.35,11.56,13.58,9.25,2236450,5654661098.0,45.53,21.56,2.05,280.96
2015-12-31,603012,11.42,12.42,13.09,10.52,1149129,2932948244.0,22.23,7.44,0.86,144.36
2016-01-29,603012,12.27,7.67,12.36,7.12,628281,1230723301.0,42.19,-38.24,-4.75,78.93
2016-02-29,603012,7.62,7.35,9.02,7.27,418954,755073333.0,22.82,-4.17,-0.32,52.63
2016-03-31,603012,7.5,8.79,9.09,7.34,702198,1287714346.0,23.81,19.59,1.44,33.14
2016-04-29,603012,8.77,9.06,10.25,8.5,690249,1379670001.0,19.91,3.07,0.27,32.57
2016-05-31,603012,9.07,9.73,10.56,8.7,831992,1697673374.0,20.53,7.4,0.67,39.26
2016-06-30,603012,9.65,12.72,14.74,9.65,3229874,5238209287.0,52.31,30.73,2.99,76.21
2016-07-29,603012,12.62,11.89,14.24,11.1,2267093,3059809057.0,24.69,-6.53,-0.83,53.49
2016-08-31,603012,11.71,11.7,12.45,11.26,1210000,1525868962.0,10.01,-1.6,-0.19,28.55
2016-09-30,603012,11.72,10.9,13.7,10.56,1370033,1752184643.0,26.84,-6.84,-0.8,32.32
2016-10-31,603012,10.98,12.04,13.99,10.83,1719010,2282381448.0,28.99,10.46,1.14,40.56
2016-11-30,603012,11.98,11.12,12.29,11.06,1408906,1753350578.0,10.22,-7.64,-0.92,33.24
2016-12-30,603012,11.12,9.67,11.57,9.62,852330,953198786.0,17.54,-13.04,-1.45,20.11
2017-01-26,603012,9.67,9.18,10.08,8.83,513818,521403199.0,12.93,-5.07,-0.49,12.12
2017-02-28,603012,9.18,9.65,10.17,9.12,719410,744083664.0,11.44,5.12,0.47,16.97
2017-03-31,603012,9.68,9.15,10.06,8.93,776245,801699008.0,11.71,-5.18,-0.5,18.31
2017-04-28,603012,9.16,8.17,9.92,7.72,512892,499801905.0,24.04,-10.71,-0.98,12.1
2017-05-31,603012,8.17,7.25,8.38,6.96,359311,303202959.0,17.38,-11.26,-0.92,8.48
2017-06-30,603012,7.18,7.58,7.96,6.9,413562,338388948.0,14.62,4.55,0.33,9.76
2017-07-31,603012,7.62,7.41,8.41,6.69,642045,533869637.0,22.69,-2.24,-0.17,15.15
2017-08-31,603012,7.39,7.66,8.01,7.23,542036,445824210.0,10.53,3.37,0.25,12.79
2017-09-29,603012,7.67,8.22,9.06,7.6,1310652,1186858935.0,19.06,7.31,0.56,30.92
2017-10-31,603012,8.26,7.63,8.66,7.44,455876,401871998.0,14.84,-7.18,-0.59,10.76
2017-11-30,603012,7.62,6.85,7.84,6.63,375552,300875302.0,15.86,-10.22,-0.78,8.86
2017-12-29,603012,6.79,6.78,7.33,6.31,446069,341536442.0,14.89,-1.02,-0.07,10.52
2018-01-31,603012,6.81,6.52,7.5,6.49,498755,377781548.0,14.9,-3.83,-0.26,11.77
2018-02-28,603012,6.46,6.15,7.01,5.82,251020,174412961.0,18.25,-5.67,-0.37,5.92
