日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2009-11-30,002304,-8.25,-3.16,-2.74,-11.33,975029,9492349104.64,-43.92,83.84,16.4,270.84
2009-12-31,002304,-3.22,-3.49,-1.19,-7.59,367133,4114438943.76,-202.53,-10.44,-0.33,101.98
2010-01-29,002304,-3.15,-5.26,-2.61,-6.31,214848,2375326456.32,-106.02,-50.72,-1.77,59.68
2010-02-26,002304,-5.43,-4.0,-3.79,-7.59,192905,2042099334.12,-72.24,23.95,1.26,42.87
2010-03-31,002304,-4.0,-4.14,-2.5,-6.31,336394,3676737309.65,-95.25,-3.5,-0.14,74.76
2010-04-30,002304,-4.15,2.67,8.32,-4.45,475274,6258522183.76,-308.45,164.49,6.81,105.62
2010-05-31,002304,2.41,6.42,8.35,1.14,279994,3925501537.49,270.04,140.45,3.75,62.22
2010-06-30,002304,6.05,6.54,12.69,4.9,217194,3320858585.64,121.34,1.87,0.12,48.27
2010-07-30,002304,6.42,13.79,15.05,5.53,198021,3140137852.21,145.57,110.86,7.25,44.01
2010-08-31,002304,14.01,21.3,22.52,13.42,212276,3902577208.79,65.99,54.46,7.51,47.17
2010-09-30,002304,21.16,23.83,26.36,16.41,177965,3466298136.03,46.71,11.88,2.53,39.55
2010-10-29,002304,23.54,24.73,27.05,17.94,148987,2983539472.05,38.23,3.78,0.9,33.11
2010-11-30,002304,24.39,39.0,47.29,24.38,204721,5116982846.73,92.64,57.7,14.27,9.98
2010-12-31,002304,38.42,29.49,40.29,23.54,229909,5278657946.87,42.95,-24.38,-9.51,11.22
2011-01-31,002304,30.68,25.17,34.24,20.56,169303,3642732073.96,46.39,-14.65,-4.32,8.26
2011-02-28,002304,25.02,30.08,31.27,21.75,123690,2679521157.74,37.82,19.51,4.91,6.04
2011-03-31,002304,28.98,24.91,32.57,22.65,130684,2887374442.55,32.98,-17.19,-5.17,6.38
2011-04-29,002304,24.87,32.76,32.81,21.75,108256,2348837043.64,44.4,31.51,7.85,5.28
2011-05-31,002304,33.33,28.05,34.95,25.62,198061,2784289938.28,28.48,-14.38,-4.71,4.83
2011-06-30,002304,28.04,38.21,38.83,24.18,342293,3929892189.98,52.23,36.22,10.16,8.36
2011-07-29,002304,38.21,44.98,47.75,37.52,330475,4432483024.5,26.77,17.72,6.77,8.07
2011-08-30,002304,44.42,52.95,55.08,41.69,342467,4944585286.23,29.77,17.72,7.97,8.36
2011-09-30,002304,53.42,44.07,53.6,40.38,198491,2780884276.0,24.97,-16.77,-8.88,4.85
2011-10-31,002304,43.55,50.14,51.78,42.59,175705,2512004603.0,20.85,13.77,6.07,4.29
2011-11-30,002304,49.96,50.21,52.7,45.55,242990,3519241423.0,14.26,0.14,0.07,5.93
2011-12-30,002304,50.92,39.89,51.51,33.95,224963,3023931584.0,34.97,-20.55,-10.32,5.49
2012-01-31,002304,39.85,39.17,42.99,33.66,143824,1814950042.0,23.39,-1.8,-0.72,3.5
2012-02-29,002304,38.73,51.99,52.67,38.73,196497,2756936527.0,35.59,32.73,12.82,4.79
2012-03-30,002304,52.01,50.71,60.14,49.45,267201,4108229555.0,20.56,-2.46,-1.28,6.51
2012-04-27,002304,50.0,62.41,62.76,49.51,140951,2219610965.0,26.13,23.07,11.7,3.43
2012-05-31,002304,61.93,65.5,65.96,55.47,290378,4826066356.0,16.81,4.95,3.09,7.07
2012-06-29,002304,65.5,60.12,68.93,56.8,319044,4372157313.0,18.52,-8.21,-5.38,6.49
2012-07-31,002304,60.43,65.16,75.78,58.3,425265,6192113762.0,29.08,8.38,5.04,8.7
2012-08-31,002304,65.16,51.15,69.8,49.55,393601,5313680105.0,31.08,-21.5,-14.01,8.05
2012-09-28,002304,51.87,53.3,56.01,44.01,375258,4564405968.0,23.46,4.2,2.15,7.68
2012-10-31,002304,53.3,48.33,60.01,47.94,245699,3056224398.0,22.65,-9.32,-4.97,5.03
2012-11-30,002304,48.52,35.3,50.44,29.34,349442,3649619287.0,43.66,-26.96,-13.03,7.15
2012-12-31,002304,35.24,30.71,35.24,25.08,1013501,9284973795.0,28.78,-13.0,-4.59,20.3
2013-01-31,002304,30.45,20.26,39.21,18.84,1257684,11427994384.0,66.33,-34.03,-10.45,24.81
2013-02-28,002304,20.06,20.3,25.26,18.84,864618,7021451183.0,31.69,0.2,0.04,17.06
2013-03-29,002304,20.36,8.56,23.3,7.83,1204148,8654624274.0,76.21,-57.83,-11.74,23.76
2013-04-26,002304,8.58,5.71,10.16,5.71,846479,5207882783.0,51.99,-33.29,-2.85,16.7
2013-05-31,002304,5.4,10.33,11.87,3.57,1088770,6699056457.0,145.36,80.91,4.62,21.48
2013-06-28,002304,10.44,4.23,11.04,2.37,662993,3899775100.0,83.93,-59.05,-6.1,13.08
2013-07-31,002304,4.01,0.58,4.93,0.36,980403,5074590203.0,108.04,-86.29,-3.65,19.34
2013-08-30,002304,0.88,0.64,3.49,0.46,860577,4393133104.0,522.41,10.34,0.06,9.84
2013-09-30,002304,0.5,-3.55,1.13,-3.86,860164,4045939818.0,779.69,-654.69,-4.19,9.83
2013-10-31,002304,-3.63,-5.22,-2.17,-6.42,725238,3121484193.0,-119.72,-47.04,-1.67,8.29
2013-11-29,002304,-5.36,-4.05,-2.42,-6.31,803443,3425817077.0,-74.52,22.41,1.17,9.19
2013-12-31,002304,-4.7,-5.4,-3.42,-8.27,888112,3576727714.0,-119.75,-33.33,-1.35,10.06
2014-01-30,002304,-4.92,-6.12,-4.24,-7.4,1128669,4556498999.0,-58.52,-13.33,-0.72,12.78
2014-02-28,002304,-6.42,1.85,5.94,-6.77,1159401,5706844766.0,-207.68,130.23,7.97,13.13
2014-03-31,002304,1.62,0.58,7.01,-0.09,830380,4349961268.0,383.78,-68.65,-1.27,9.41
2014-04-30,002304,0.41,5.86,6.73,0.37,619208,3365408140.0,1096.55,910.34,5.28,7.01
2014-05-30,002304,5.63,4.96,7.49,1.23,521876,2857656889.0,106.83,-15.36,-0.9,5.94
2014-06-30,002304,4.96,3.12,5.77,1.74,271086,1427109776.0,81.25,-37.1,-1.84,3.08
2014-07-31,002304,3.02,8.79,10.0,1.55,557605,3063977909.0,270.83,181.73,5.67,6.34
2014-08-29,002304,8.56,12.27,14.27,8.27,447287,2727007895.0,68.26,39.59,3.48,5.09
2014-09-30,002304,11.87,11.97,15.73,10.37,338114,2186620287.0,43.68,-2.44,-0.3,3.85
2014-10-31,002304,11.84,10.02,13.3,7.87,300812,1852587972.0,45.36,-16.29,-1.95,3.42
2014-11-28,002304,10.08,9.9,12.56,8.37,449466,2733377005.0,41.82,-1.2,-0.12,5.11
2014-12-31,002304,9.92,23.34,24.45,9.75,1049629,7435666418.0,148.48,135.76,13.44,11.94
2015-01-30,002304,23.27,21.67,31.15,19.45,671908,5398927726.0,50.13,-7.16,-1.67,7.64
2015-02-27,002304,21.16,24.29,27.85,20.95,422412,3413394782.0,31.84,12.09,2.62,4.8
2015-03-31,002304,24.09,25.0,26.87,20.16,963147,7634454147.0,27.62,2.92,0.71,10.95
2015-04-30,002304,24.99,33.71,40.41,24.73,1224204,11251353968.0,62.72,34.84,8.71,13.92
2015-05-29,002304,34.66,33.74,40.8,28.02,1333361,12416930064.0,37.91,0.09,0.03,15.16
2015-06-30,002304,34.02,37.66,49.73,27.52,1894562,16667537184.0,65.83,11.62,3.92,15.42
2015-07-31,002304,36.08,31.34,48.9,24.8,2513144,16816820704.0,63.99,-16.78,-6.32,20.46
2015-08-31,002304,31.19,23.89,37.4,15.68,1173530,6960607499.0,69.3,-23.77,-7.45,9.55
2015-09-30,002304,23.09,22.79,26.8,20.5,631989,3502533866.0,26.37,-4.6,-1.1,5.15
2015-10-30,002304,24.3,30.82,31.88,24.3,449466,2704342674.0,33.26,35.23,8.03,3.66
2015-11-30,002304,30.78,31.3,38.33,30.18,472514,3104763700.0,26.44,1.56,0.48,3.85
2015-12-31,002304,31.88,36.84,39.79,30.96,548820,3677564186.0,28.21,17.7,5.54,4.45
2016-01-29,002304,36.77,27.11,37.99,24.86,460073,2824325304.0,35.64,-26.41,-9.73,3.73
2016-02-29,002304,26.46,25.61,30.1,25.1,322187,1917723483.0,18.44,-5.53,-1.5,2.61
2016-03-31,002304,25.65,35.1,37.8,25.65,664585,4330231728.0,47.44,37.06,9.49,5.39
2016-04-29,002304,35.08,35.91,37.29,30.42,494308,3261887631.0,19.57,2.31,0.81,4.01
2016-05-31,002304,36.08,36.63,40.3,34.29,566428,3882474668.0,16.74,2.01,0.72,4.59
2016-06-30,002304,36.81,42.02,46.77,36.81,612736,4460053922.0,27.19,14.71,5.39,4.97
2016-07-29,002304,41.89,41.61,50.07,40.11,885001,6541629934.0,23.7,-0.98,-0.41,7.18
2016-08-31,002304,41.52,40.39,44.6,39.2,704053,5022967271.0,12.98,-2.93,-1.22,5.71
2016-09-30,002304,40.6,37.19,40.65,34.9,653441,4355810236.0,14.24,-7.92,-3.2,5.3
2016-10-31,002304,37.53,39.75,41.86,37.4,374925,2588918049.0,11.99,6.88,2.56,3.04
2016-11-30,002304,39.98,40.6,41.96,36.81,530427,3665350935.0,12.96,2.14,0.85,4.3
2016-12-30,002304,40.6,40.7,43.87,37.65,747514,5306116923.0,15.32,0.25,0.1,6.07
2017-01-26,002304,41.0,40.32,42.28,37.11,363299,2551197691.0,12.7,-0.93,-0.38,2.93
2017-02-28,002304,40.7,51.14,56.87,39.9,745402,5932305806.0,42.09,26.84,10.82,6.01
2017-03-31,002304,51.6,57.48,61.08,51.26,634761,5458973884.0,19.2,12.4,6.34,5.12
2017-04-28,002304,57.95,50.1,59.86,48.92,655384,5544833666.0,19.03,-12.84,-7.38,5.28
2017-05-31,002304,48.8,57.3,57.47,48.1,549331,4529943415.0,18.7,14.37,7.2,4.43
2017-06-30,002304,56.78,59.01,63.0,54.15,652649,5695710757.0,15.45,2.98,1.71,5.26
2017-07-31,002304,59.35,61.6,64.64,52.7,673325,5804723323.0,20.23,4.39,2.59,5.43
2017-08-31,002304,61.77,61.55,66.8,57.44,870067,7803330774.0,15.19,-0.08,-0.05,7.02
2017-09-29,002304,61.3,73.7,78.0,57.21,1022962,9632509101.0,33.78,19.74,12.15,8.25
2017-10-31,002304,75.08,82.44,94.86,71.39,1138709,12546639872.0,31.85,11.86,8.74,9.18
2017-11-30,002304,82.45,76.17,96.15,74.27,1515954,17143096208.0,26.54,-7.61,-6.27,12.23
2017-12-29,002304,76.49,87.2,92.79,75.7,863904,9786723024.0,22.44,14.48,11.03,6.97
2018-01-31,002304,88.4,102.15,111.22,86.31,1228573,15939020176.0,28.57,17.14,14.95,9.89
2018-02-28,002304,100.72,90.19,105.15,88.2,809060,10022503008.0,16.59,-11.71,-11.96,6.51
2018-03-30,002304,90.2,80.19,94.06,71.43,893734,10018485575.0,25.09,-11.09,-10.0,7.19
2018-04-27,002304,78.48,84.36,89.2,76.0,637900,7040574072.0,16.46,5.2,4.17,5.14
2018-05-31,002304,86.25,115.88,117.2,84.57,949191,12380759232.0,38.68,37.36,31.52,7.64
2018-06-29,002304,114.8,106.35,122.0,99.25,854545,12047617424.0,19.63,-8.22,-9.53,6.88
2018-07-31,002304,106.55,103.1,114.25,94.81,856792,11213185680.0,18.28,-3.06,-3.25,6.89
2018-08-31,002304,104.22,90.08,105.1,78.63,1136197,12862049088.0,25.67,-12.63,-13.02,9.13
2018-09-28,002304,88.25,102.75,105.04,77.25,942419,10850691104.0,30.85,14.07,12.67,7.58
2018-10-31,002304,99.35,63.14,100.23,56.63,1660722,17324219248.0,42.43,-38.55,-39.61,13.35
2018-11-30,002304,65.73,74.93,77.55,64.85,1303594,12520801913.0,20.11,18.67,11.79,10.48
2018-12-28,002304,78.75,69.47,80.27,66.38,823566,8111409045.0,18.54,-7.29,-5.46,6.62
2019-01-31,002304,70.3,69.25,78.25,62.35,1165192,11097428535.0,22.89,-0.32,-0.22,9.33
2019-02-28,002304,70.23,85.8,88.96,69.25,1248335,13274186304.0,28.46,23.9,16.55,10.0
2019-03-29,002304,89.32,105.17,105.32,83.75,1847346,21623746768.0,25.14,22.58,19.37,14.8
2019-04-30,002304,103.75,92.41,105.14,91.26,2161946,26515689584.0,13.2,-12.13,-12.76,17.32
2019-05-31,002304,88.75,89.11,98.05,83.25,1407216,16281003872.0,16.02,-3.57,-3.3,11.27
2019-06-28,002304,89.05,99.51,100.9,84.06,994289,11629258480.0,18.9,11.67,10.4,7.96
2019-07-31,002304,102.07,94.46,116.45,94.46,1646983,20849185088.0,22.1,-5.07,-5.05,13.19
2019-08-30,002304,94.34,89.93,94.35,80.25,2071927,22302964416.0,14.93,-4.8,-4.53,16.59
2019-09-30,002304,88.4,81.95,90.95,81.21,1674900,17905887616.0,10.83,-8.87,-7.98,13.41
2019-10-31,002304,81.95,78.74,84.7,77.95,1017389,10429200640.0,8.24,-3.92,-3.21,8.15
2019-11-29,002304,78.45,76.14,81.15,73.98,1120965,11139005089.0,9.11,-3.3,-2.6,8.98
2019-12-31,002304,76.15,88.45,89.97,75.95,1199896,12540952896.0,18.41,16.17,12.31,9.61
2020-01-23,002304,87.94,85.11,98.15,84.45,1090436,12384238800.0,15.49,-3.78,-3.34,8.73
2020-02-28,002304,74.39,75.33,83.83,74.39,1430848,14458937632.0,11.09,-11.49,-9.78,11.46
2020-03-31,002304,72.95,61.82,79.72,58.29,1869116,16920869376.0,28.45,-17.93,-13.51,14.97
2020-04-30,002304,62.55,76.39,78.25,60.93,1133554,10327910112.0,28.02,23.57,14.57,9.08
2020-05-29,002304,76.05,83.46,85.1,72.95,1391322,14006620608.0,15.91,9.26,7.07,11.14
2020-06-30,002304,83.93,86.09,91.88,81.81,1511253,16255059376.0,12.07,3.15,2.63,12.1
2020-07-31,002304,86.09,116.0,126.83,85.95,3041756,39578684112.0,47.49,34.74,29.91,24.35
2020-08-31,002304,115.15,122.04,126.55,106.55,1474433,19747717504.0,17.24,5.21,6.04,11.81
2020-09-30,002304,121.96,105.94,130.61,105.17,1503506,20533631264.0,20.85,-13.19,-16.1,12.04
2020-10-30,002304,108.96,149.01,156.24,106.8,1756488,27693021696.0,46.67,40.66,43.07,14.06
2020-11-30,002304,149.41,158.95,170.85,148.95,2034155,36069015392.0,14.7,6.67,9.94,16.31
2020-12-31,002304,159.46,216.94,217.48,156.95,1979758,40722428192.0,38.08,36.48,57.99,15.87
2021-01-29,002304,216.4,184.96,249.55,166.3,2983845,64617476112.0,38.37,-14.74,-31.98,23.92
2021-02-26,002304,184.91,169.95,222.81,167.95,2138991,44640482000.0,29.66,-8.12,-15.01,17.15
2021-03-31,002304,167.8,145.65,172.95,135.46,1932030,32465383824.0,22.06,-14.3,-24.3,15.49
2021-04-30,002304,145.95,173.45,179.52,130.71,2168709,36245362288.0,33.51,19.09,27.8,17.38
2021-05-31,002304,173.25,198.75,204.03,157.95,1679842,32969248368.0,26.57,14.59,25.3,13.47
2021-06-30,002304,196.95,188.15,218.01,169.8,2759765,58396580992.0,24.26,-5.33,-10.6,22.1
2021-07-30,002304,188.05,146.94,199.39,143.9,1993387,38333073904.0,29.49,-21.9,-41.21,15.96
2021-08-31,002304,143.95,151.49,164.05,140.44,1514966,25773522400.0,16.07,3.1,4.55,12.13
2021-09-30,002304,149.95,150.03,163.95,145.86,1557455,26389613232.0,11.94,-0.96,-1.46,12.47
2021-10-29,002304,151.95,170.13,178.75,150.46,1367932,24770963184.0,18.86,13.4,20.1,10.95
2021-11-30,002304,166.72,158.25,175.72,156.96,1921895,34294406240.0,11.03,-6.98,-11.88,15.39
2021-12-31,002304,159.41,148.68,179.13,147.67,2410561,42866765264.0,19.88,-6.05,-9.57,19.23
2022-01-28,002304,148.95,140.3,153.7,136.28,1296808,21030966240.0,11.72,-5.64,-8.38,10.35
2022-02-28,002304,143.25,148.65,162.01,140.16,981972,16504892624.0,15.57,5.95,8.35,7.84
2022-03-31,002304,150.45,119.58,153.72,114.07,1107882,16304780736.0,26.67,-19.56,-29.07,8.84
