日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-30,920118,22.0,17.15,27.69,16.82,274923,582818796.44,67.94,7.19,1.15,191.32
2024-09-30,920118,17.12,21.05,21.35,15.11,307068,542767264.21,36.38,22.74,3.9,231.32
2024-10-31,920118,26.74,26.29,30.5,20.02,462315,1186306250.97,49.79,24.89,5.24,335.13
2024-11-29,920118,26.01,31.34,33.6,23.96,437798,1284800994.67,36.67,19.21,5.05,317.36
2024-12-31,920118,31.81,23.4,35.6,23.02,228492,694749761.36,40.14,-25.34,-7.94,165.66
2025-01-27,920118,23.21,23.09,25.25,22.45,70920,176350839.07,11.97,-1.32,-0.31,51.42
2025-02-28,920118,23.34,27.72,28.96,22.88,130744,348278115.1,26.33,20.05,4.63,59.53
2025-03-31,920118,28.0,27.16,32.97,26.66,341776,1059274135.65,22.76,-2.02,-0.56,155.61
2025-04-30,920118,27.18,25.44,30.98,21.04,237241,668494245.68,36.6,-6.33,-1.72,108.01
2025-05-30,920118,25.65,26.69,28.81,25.33,145999,409789825.6,13.68,4.91,1.25,66.47
2025-06-30,920118,26.69,27.67,28.98,25.07,172270,490377595.23,14.65,3.67,0.98,78.43
2025-07-31,920118,27.76,27.71,30.38,26.94,177299,501232167.42,12.43,0.14,0.04,80.72
2025-08-29,920118,27.71,27.1,29.5,26.35,156295,431142328.69,11.37,-2.2,-0.61,71.16
2025-09-30,920118,27.09,26.52,29.8,26.15,281900,774401050.35,13.47,-2.14,-0.58,91.23
2025-10-31,920118,26.65,26.78,27.45,25.55,116680,309850393.78,7.16,0.98,0.26,37.76
2025-11-28,920118,26.89,22.94,27.2,22.59,198405,501563656.33,17.21,-14.34,-3.84,64.21
2025-12-31,920118,22.88,22.51,23.97,22.06,136213,314420261.32,8.33,-1.87,-0.43,44.08
2026-01-30,920118,22.51,24.15,25.3,22.43,175433,425767624.51,12.75,7.29,1.64,56.77
