日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1996-05-31,600897,-2.67,-2.33,-2.25,-2.67,142426,185694000.0,-12.57,30.24,1.01,58.61
1996-06-28,600897,-2.25,-2.13,-1.93,-2.51,495478,694953336.0,-24.89,8.58,0.2,203.9
1996-07-31,600897,-2.12,-2.16,-1.83,-2.3,273393,403274000.0,-22.07,-1.41,-0.03,112.51
1996-08-30,600897,-2.16,-2.22,-1.99,-2.38,94975,138678000.0,-18.06,-2.78,-0.06,39.08
1996-09-27,600897,-2.21,-1.79,-1.6,-2.32,317651,497809000.0,-32.43,19.37,0.43,130.72
1996-10-31,600897,-1.84,-2.05,-1.83,-2.14,187967,290048000.0,-17.32,-14.53,-0.26,77.35
1996-11-29,600897,-2.05,-1.71,-1.61,-2.13,225680,365064000.0,-25.37,16.59,0.34,92.87
1996-12-31,600897,-1.62,-1.6,-0.47,-1.99,361539,667212000.0,-88.89,6.43,0.11,133.9
1997-01-31,600897,-1.62,-1.25,-1.17,-1.77,139199,254656000.0,-37.5,21.88,0.35,51.56
1997-02-28,600897,-1.16,-1.16,-1.11,-1.66,110839,209160000.0,-44.0,7.2,0.09,41.05
1997-03-31,600897,-1.16,0.81,1.19,-1.16,383445,983839000.0,-202.59,169.83,1.97,142.02
1997-04-30,600897,0.83,4.1,4.43,0.77,303026,1161150000.0,451.85,406.17,3.29,112.23
1997-05-30,600897,4.08,3.99,5.1,3.01,305866,1180803000.0,50.98,-2.68,-0.11,56.64
1997-06-27,600897,4.1,5.71,6.09,3.99,625077,1602356000.0,52.63,43.11,1.72,115.76
1997-07-31,600897,5.6,4.36,5.69,3.5,212900,494182000.0,38.35,-23.64,-1.35,31.54
1997-08-29,600897,4.49,2.55,4.59,2.27,108402,197838000.0,53.21,-41.51,-1.81,16.06
1997-09-30,600897,1.68,0.37,1.95,0.19,155124,227598000.0,69.02,-85.49,-2.18,22.98
1997-10-31,600897,0.37,1.6,2.32,0.2,139724,215422000.0,572.97,332.43,1.23,20.7
1997-11-28,600897,1.69,0.82,1.87,0.57,53913,79147720.0,81.25,-48.75,-0.78,7.99
1997-12-31,600897,0.7,0.56,0.95,0.37,54398,72582000.0,70.73,-31.71,-0.26,8.06
1998-01-23,600897,0.56,1.13,2.17,0.47,116790,172863000.0,303.57,101.79,0.57,17.3
1998-02-27,600897,1.46,0.65,1.61,0.44,33515,46869000.0,103.54,-42.48,-0.48,4.97
1998-03-31,600897,0.6,0.55,0.91,0.19,48003,62926085.0,110.77,-15.38,-0.1,7.11
1998-04-30,600897,0.51,0.04,0.85,-0.06,120113,151612000.0,165.45,-92.73,-0.51,17.79
1998-05-29,600897,0.06,0.46,0.94,0.01,156086,203485000.0,2325.0,1050.0,0.42,23.12
1998-06-30,600897,0.49,0.49,1.43,0.37,171935,237051000.0,230.43,6.52,0.03,25.47
1998-07-31,600897,0.52,-0.2,0.69,-0.54,45675,56861000.0,251.02,-140.82,-0.69,6.77
1998-08-31,600897,-0.26,-1.25,-0.26,-1.84,79364,80004000.0,-790.0,-525.0,-1.05,11.76
1998-09-30,600897,-1.32,-0.26,-0.13,-1.48,136318,146513000.0,-108.0,79.2,0.99,20.2
1998-10-30,600897,-0.28,-0.74,0.19,-0.85,138133,159375000.0,-400.0,-184.62,-0.48,20.46
1998-11-30,600897,-0.74,-0.93,-0.39,-0.97,62681,67345000.0,-78.38,-25.68,-0.19,9.29
1998-12-31,600897,-0.92,-1.3,-0.82,-1.43,24132,23803000.0,-65.59,-39.78,-0.37,3.58
1999-01-29,600897,-1.63,-1.51,-1.22,-1.63,18399,16943000.0,-31.54,-16.15,-0.21,2.73
1999-02-09,600897,-1.51,-1.62,-1.33,-1.79,8544,7689000.0,-30.46,-7.28,-0.11,1.27
1999-03-31,600897,-1.62,-1.56,-1.15,-1.73,41064,38300000.0,-35.8,3.7,0.06,6.08
1999-04-30,600897,-1.53,-1.58,-1.28,-1.83,49920,45901738.0,-35.26,-1.28,-0.02,7.4
1999-05-31,600897,-1.53,-0.95,-0.57,-1.68,239108,239178000.0,-70.25,39.87,0.63,35.42
1999-06-30,600897,-0.97,-0.28,0.43,-1.33,405479,463093000.0,-185.26,70.53,0.67,60.07
