日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1994-01-31,000551,8.8,6.95,9.3,6.95,134828,116066377.0,51.09,51.09,2.35,49.94
1994-02-28,000551,6.7,7.85,8.5,6.7,85869,66271295.19,25.9,12.95,0.9,31.8
1994-03-31,000551,7.8,8.1,9.8,7.45,521095,460130728.88,29.94,3.18,0.25,193.0
1994-04-29,000551,8.0,7.1,8.45,5.8,297919,210632409.0,32.72,-12.35,-1.0,110.34
1994-05-31,000551,7.14,7.1,8.58,6.8,346373,247552302.75,25.07,0.0,0.0,104.96
1994-06-30,000551,7.1,5.63,7.1,5.47,132016,68317910.47,22.96,-20.7,-1.47,40.0
1994-07-29,000551,5.64,4.0,5.64,4.0,135081,55326878.5,29.13,-28.95,-1.63,40.93
1994-08-31,000551,5.16,6.19,7.68,4.68,953236,512071359.5,75.0,54.75,2.19,264.79
1994-09-30,000551,6.42,7.62,9.84,6.0,931765,664970200.5,62.04,23.1,1.43,258.82
1994-10-31,000551,7.2,5.89,7.42,5.28,344281,181074007.25,28.08,-22.7,-1.73,95.63
1994-11-30,000551,5.89,6.07,6.48,5.88,88769,45730381.0,10.19,3.06,0.18,24.66
1994-12-30,000551,6.08,5.82,6.3,5.4,89962,44490739.94,14.83,-4.12,-0.25,24.99
1995-01-27,000551,5.76,4.92,6.24,4.43,48079,22111752.94,31.1,-15.46,-0.9,13.36
1995-02-28,000551,4.8,4.92,5.52,4.74,30709,13094728.34,15.85,0.0,0.0,8.53
1995-03-31,000551,4.97,5.8,6.0,4.92,116434,54016692.82,21.95,17.89,0.88,32.34
1995-04-28,000551,5.86,4.69,6.12,4.32,113046,51124238.0,31.03,-19.14,-1.11,31.4
1995-05-31,000551,4.74,4.91,6.72,4.26,199522,95255307.0,52.45,4.69,0.22,55.42
1995-06-30,000551,4.92,4.82,5.21,4.46,69189,28076240.0,15.27,-1.83,-0.09,19.22
1995-07-31,000551,4.75,5.11,5.98,4.61,191114,85346054.0,28.42,6.02,0.29,53.09
1995-08-31,000551,5.11,4.85,5.64,4.73,140947,61204741.0,17.81,-5.09,-0.26,39.15
1995-09-29,000551,4.82,4.88,5.2,4.59,84837,32746241.0,12.58,0.62,0.03,18.44
1995-10-31,000551,4.89,4.57,5.26,4.45,68191,25192329.0,16.6,-6.35,-0.31,14.83
1995-11-30,000551,4.57,4.36,4.82,4.28,31143,11492113.56,11.82,-4.6,-0.21,6.77
1995-12-29,000551,4.32,3.76,4.51,3.73,43526,14478381.33,17.89,-13.76,-0.6,9.46
1996-01-31,000551,3.76,3.77,3.82,2.98,52286,15099973.79,22.34,0.27,0.01,11.37
1996-02-16,000551,3.73,3.7,3.96,3.45,67112,20048018.41,13.53,-1.86,-0.07,14.59
1996-03-29,000551,3.77,3.6,3.99,3.48,56043,16736852.88,13.78,-2.7,-0.1,12.18
1996-04-30,000551,3.67,5.81,6.59,3.51,422003,157653965.1,85.56,61.39,2.21,91.75
1996-05-31,000551,6.32,5.86,7.12,5.28,502975,227941079.0,31.67,0.86,0.05,109.35
1996-06-28,000551,5.89,7.58,8.42,5.58,727278,375746032.5,48.46,29.35,1.72,158.11
1996-07-31,000551,7.33,16.14,19.38,7.26,1822297,1385026910.0,159.89,112.93,8.56,330.15
1996-08-30,000551,15.96,17.36,18.0,13.49,649601,585027187.0,27.94,7.56,1.22,117.69
1996-09-27,000551,17.54,23.08,23.98,17.45,1177474,1418713368.0,37.62,32.95,5.72,213.32
1996-10-31,000551,24.07,28.91,30.97,23.08,1057069,1650558314.0,34.19,25.26,5.83,191.51
1996-11-29,000551,27.84,39.16,40.17,26.8,1066385,1953543876.0,46.25,35.45,10.25,193.2
1996-12-31,000551,39.62,36.82,44.77,30.11,663826,1395972810.0,37.44,-5.98,-2.34,120.27
1997-01-31,000551,36.84,44.4,45.42,35.57,412798,942938386.0,26.75,20.59,7.58,74.79
1997-02-28,000551,45.1,44.16,45.32,37.08,161650,377366540.0,18.56,-0.54,-0.24,29.29
1997-03-31,000551,44.92,52.32,55.44,44.18,898393,2379133783.0,25.5,18.48,8.16,162.76
1997-04-30,000551,52.41,80.02,84.81,51.21,1210760,3312028188.0,64.22,52.94,27.7,109.68
1997-05-30,000551,80.47,74.72,106.59,68.54,1511903,3632197172.0,47.55,-6.62,-5.3,136.96
1997-06-27,000551,76.05,72.85,79.69,53.09,842076,1622703632.0,35.6,-2.5,-1.87,76.28
1997-07-31,000551,73.11,57.58,74.58,53.16,325377,561125741.0,29.4,-20.96,-15.27,29.47
1997-08-29,000551,58.02,39.69,58.02,36.23,307418,370776093.5,37.84,-31.07,-17.89,27.85
1997-09-30,000551,39.62,31.45,42.56,31.16,205044,216232648.5,28.72,-20.76,-8.24,18.57
1997-10-31,000551,31.71,39.07,44.04,30.75,405631,443854353.75,42.26,24.23,7.62,36.74
1997-11-28,000551,39.1,36.57,43.26,34.1,244327,268295042.5,23.45,-6.4,-2.5,22.13
1997-12-31,000551,36.53,36.05,38.15,31.89,155108,151640968.0,17.12,-1.42,-0.52,14.05
1998-01-23,000551,36.31,33.62,38.15,32.11,133434,131571052.5,16.75,-6.74,-2.43,12.09
1998-02-27,000551,35.57,32.92,37.6,32.67,77095,74556281.75,14.66,-2.08,-0.7,6.98
1998-03-31,000551,32.92,30.9,33.0,29.68,86111,74779174.88,10.09,-6.14,-2.02,7.8
1998-04-30,000551,31.16,28.21,34.39,27.11,259271,225110124.0,23.56,-8.71,-2.69,23.49
1998-05-29,000551,28.21,33.95,34.65,27.29,478408,419415901.0,26.09,20.35,5.74,43.34
1998-06-30,000551,35.57,32.7,41.28,31.89,599473,628943832.5,27.66,-3.68,-1.25,54.3
1998-07-31,000551,33.73,29.1,34.47,28.21,113045,97370729.5,19.14,-11.01,-3.6,10.24
1998-08-31,000551,28.95,24.57,30.75,21.33,129966,92995527.0,32.37,-15.57,-4.53,11.77
1998-09-30,000551,24.53,27.07,30.42,23.47,206921,156395339.5,28.29,10.18,2.5,18.74
1998-10-30,000551,26.96,24.46,27.95,23.5,111965,81177548.0,16.44,-9.64,-2.61,10.14
1998-11-30,000551,24.24,25.27,27.77,23.72,154932,113505303.88,16.56,3.31,0.81,14.03
1998-12-31,000551,25.45,22.91,26.0,22.14,48877,32873048.81,15.28,-9.34,-2.36,4.43
1999-01-29,000551,22.32,20.01,23.24,18.02,70051,40801712.5,22.78,-12.66,-2.9,6.35
1999-02-09,000551,19.79,19.16,20.85,18.5,19437,10730320.06,11.74,-4.25,-0.85,1.76
1999-03-31,000551,19.31,23.13,25.45,19.01,145868,92475444.81,33.61,20.72,3.97,13.21
1999-04-30,000551,23.21,20.48,24.13,20.01,89248,55399359.62,17.81,-11.46,-2.65,8.08
1999-05-31,000551,20.19,23.69,23.8,19.01,181643,111252901.56,23.39,15.67,3.21,16.45
1999-06-30,000551,23.98,36.86,39.55,23.28,885697,778063636.0,68.68,55.59,13.17,80.23
1999-07-30,000551,36.12,35.61,39.62,29.32,418148,411835120.5,27.94,-3.39,-1.25,37.88
1999-08-31,000551,35.39,53.53,55.44,35.39,552756,694399155.0,56.3,50.32,17.92,50.07
1999-09-30,000551,53.16,53.49,62.51,46.98,364878,550288192.0,29.01,-0.07,-0.04,33.05
1999-10-29,000551,53.49,52.46,53.9,45.18,62341,85704001.0,16.3,-1.93,-1.03,5.65
1999-11-30,000551,52.43,45.8,54.52,44.44,168958,238882100.25,19.21,-12.7,-6.66,15.31
1999-12-30,000551,45.14,37.12,47.6,35.2,63952,77695001.38,27.07,-18.95,-8.68,5.79
2000-01-28,000551,37.23,41.57,44.77,36.23,226966,253065991.5,23.01,11.99,4.45,20.56
2000-02-29,000551,43.3,56.29,61.7,43.3,1047644,1497158432.0,44.26,35.41,14.72,94.9
2000-03-31,000551,56.55,54.89,61.29,47.64,825426,1238347178.0,24.25,-2.49,-1.4,74.77
2000-04-28,000551,54.3,49.04,56.91,46.61,598719,844484101.0,18.76,-10.66,-5.85,54.24
2000-05-31,000551,49.56,49.78,54.15,45.51,386674,541921372.0,17.62,1.51,0.74,35.03
2000-06-30,000551,49.85,47.53,51.69,47.2,305510,418443498.0,9.02,-4.52,-2.25,27.67
2000-07-31,000551,46.98,47.94,50.36,46.21,582774,780659983.0,8.73,0.86,0.41,52.79
2000-08-31,000551,47.94,44.99,49.56,44.29,241485,317565834.0,10.99,-6.15,-2.95,21.8
2000-09-29,000551,44.99,40.25,45.51,38.92,99211,115333495.75,14.65,-10.54,-4.74,8.95
2000-10-31,000551,40.36,42.2,44.04,38.81,96342,111857322.0,12.99,4.84,1.95,8.7
2000-11-30,000551,42.2,44.37,45.65,40.94,147871,178708568.25,11.16,5.14,2.17,13.35
