日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-30,603223,11.97,11.97,11.97,11.97,171,204663.0,0.0,44.04,3.66,0.06
2015-07-31,603223,13.17,43.98,43.98,13.17,2084733,5858803380.0,257.39,267.42,32.01,694.91
2015-08-31,603223,45.88,30.42,53.22,22.16,1814355,6784758403.0,70.62,-30.83,-13.56,604.78
2015-09-30,603223,28.9,32.01,39.0,25.11,2309815,7720999090.0,45.66,5.23,1.59,769.94
2015-10-30,603223,33.5,36.84,40.6,32.5,1306889,4788282296.0,25.3,15.09,4.83,435.63
2015-11-30,603223,35.05,37.94,49.01,34.0,1516075,6343965344.0,40.74,2.99,1.1,505.36
2015-12-31,603223,37.96,38.63,43.98,35.0,736190,2932130609.0,23.67,1.82,0.69,245.4
2016-01-29,603223,38.2,24.59,38.62,23.29,345468,1011375908.0,39.68,-36.34,-14.04,115.16
2016-02-29,603223,24.6,32.72,33.02,24.12,453301,1291187332.0,36.19,33.06,8.13,151.1
2016-03-31,603223,30.98,30.79,32.0,25.8,717944,2098763743.0,18.95,-5.9,-1.93,239.31
2016-04-29,603223,33.87,30.02,35.4,29.5,565018,1813226496.0,19.16,-2.5,-0.77,188.34
2016-05-31,603223,29.85,29.86,32.55,26.23,284579,826379847.0,21.05,-0.53,-0.16,94.86
2016-06-30,603223,29.7,30.43,32.0,27.99,484390,1467200426.0,13.43,1.91,0.57,61.32
2016-07-29,603223,30.43,29.57,32.92,28.08,465868,1448956784.0,15.91,-2.83,-0.86,58.97
2016-08-31,603223,29.45,36.14,38.42,29.12,575569,1955672914.0,31.45,22.22,6.57,72.86
2016-09-30,603223,35.73,35.76,37.77,35.33,211748,766883122.0,6.75,-1.05,-0.38,26.8
2016-10-31,603223,35.85,40.86,43.57,35.4,566080,2215925389.0,22.85,14.26,5.1,71.66
2016-11-30,603223,41.06,36.7,46.47,36.28,867047,3505365552.0,24.94,-10.18,-4.16,109.75
2016-12-30,603223,36.43,33.8,37.22,31.45,374656,1292117310.0,15.72,-7.9,-2.9,47.42
2017-01-26,603223,34.07,32.92,34.33,31.07,114338,380437049.0,9.64,-2.6,-0.88,14.47
2017-02-28,603223,32.4,33.78,34.07,31.22,251929,818297858.0,8.66,2.61,0.86,31.89
