日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-07-31,002054,11.71,9.87,12.1,9.8,439256,485085038.82,37.1,59.19,3.67,161.49
2006-08-31,002054,9.87,10.15,10.38,8.71,530413,504179953.36,16.92,2.84,0.28,195.0
2006-09-29,002054,10.1,9.47,10.15,9.2,247516,241828458.17,9.36,-6.7,-0.68,91.0
2006-10-31,002054,9.55,9.41,9.79,8.91,203381,190906938.27,9.29,-0.63,-0.06,59.82
2006-11-30,002054,9.4,9.36,9.44,8.83,203380,186538886.2,6.48,-0.53,-0.05,59.82
2006-12-29,002054,9.39,9.13,9.79,9.01,300116,282741068.47,8.33,-2.46,-0.23,88.27
2007-01-31,002054,9.16,11.41,11.89,9.1,499683,526558546.43,30.56,24.97,2.28,146.97
2007-02-28,002054,11.45,11.77,12.89,10.91,282558,335747325.69,17.35,3.16,0.36,83.11
2007-03-30,002054,11.51,13.24,13.78,10.99,352377,430684017.12,23.7,12.49,1.47,103.64
2007-04-30,002054,13.4,14.7,15.7,13.18,432755,626647399.17,19.03,11.03,1.46,127.28
2007-05-31,002054,15.1,16.82,20.17,14.5,541079,923665863.42,38.57,14.42,2.12,159.14
2007-06-29,002054,16.83,17.83,21.4,14.1,449200,808936210.52,43.4,6.0,1.01,132.12
2007-07-31,002054,17.99,22.11,23.03,16.63,291356,580398474.81,35.89,24.0,4.28,33.0
2007-08-31,002054,22.13,22.13,23.62,20.08,286627,623390890.15,16.01,0.09,0.02,32.46
2007-09-28,002054,22.53,23.68,25.12,21.43,348984,804933790.21,16.67,7.0,1.55,39.52
2007-10-31,002054,23.98,22.09,28.63,19.83,340558,837473990.81,37.16,-6.71,-1.59,38.57
2007-11-30,002054,22.41,20.53,22.41,17.68,223313,439746852.52,21.41,-7.06,-1.56,25.29
2007-12-28,002054,20.51,25.01,25.63,20.14,389654,897214699.74,26.74,21.82,4.48,44.13
2008-01-31,002054,25.23,23.21,27.61,21.53,540351,1340061192.64,24.31,-7.2,-1.8,61.19
2008-02-29,002054,22.73,22.92,25.38,20.94,149219,352641528.68,19.13,-1.25,-0.29,16.9
2008-03-31,002054,22.81,16.62,25.13,15.93,229046,474430574.91,40.14,-27.49,-6.3,25.94
2008-04-30,002054,16.34,17.63,17.78,12.43,225761,339456360.3,32.19,6.08,1.01,25.57
2008-05-30,002054,18.11,18.33,19.93,16.62,153603,281276835.76,18.77,3.97,0.7,17.4
