日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2007-11-30,002180,33.0,27.12,38.0,26.4,285145,907532024.16,83.57,95.39,13.24,254.59
2007-12-27,002180,27.0,34.39,35.69,26.5,135298,415565248.25,33.89,26.81,7.27,120.8
2008-01-31,002180,34.03,29.61,38.68,27.3,149996,507757498.02,33.09,-13.9,-4.78,133.93
2008-02-29,002180,29.66,30.49,32.4,27.1,90313,273627370.94,17.9,2.97,0.88,64.51
2008-03-31,002180,30.5,34.5,37.35,29.5,256931,864787476.04,25.75,13.15,4.01,183.52
2008-04-30,002180,34.0,25.31,34.65,22.0,135706,378508636.65,36.67,-26.64,-9.19,96.93
2008-05-30,002180,25.5,21.82,29.0,21.5,125743,273111201.51,29.63,-13.79,-3.49,59.88
2008-06-30,002180,21.85,15.05,25.7,14.32,192338,256836477.17,52.15,-31.03,-6.77,91.59
2008-07-31,002180,15.04,16.73,18.41,14.23,149872,162939336.26,27.77,11.16,1.68,71.37
2008-08-29,002180,16.7,12.04,16.97,11.35,67304,60667890.04,33.59,-28.03,-4.69,32.05
2008-09-26,002180,11.9,11.23,12.43,9.62,77220,56931530.22,23.34,-6.73,-0.81,36.77
2008-10-31,002180,11.0,10.37,11.0,8.48,180761,112624608.22,22.44,-7.66,-0.86,86.08
2008-11-28,002180,10.33,12.19,14.53,10.09,403843,308104682.39,42.82,17.55,1.82,192.31
2008-12-31,002180,12.19,15.5,16.22,12.05,471956,440152028.6,34.21,27.15,3.31,224.74
2009-01-23,002180,15.71,16.55,17.86,15.28,328602,355259441.98,16.65,6.77,1.05,156.48
2009-02-27,002180,16.84,16.3,22.45,16.3,476934,594922138.12,37.16,-1.51,-0.25,227.11
2009-03-31,002180,16.3,20.48,21.32,15.85,395130,483357996.95,33.56,25.64,4.18,188.16
2009-04-30,002180,20.6,20.53,23.0,19.13,593944,811847286.58,18.9,0.24,0.05,282.83
2009-05-27,002180,20.54,22.1,24.95,20.38,403107,584352624.97,22.26,7.65,1.57,191.96
2009-06-30,002180,22.25,22.22,23.9,21.35,432612,642648303.69,11.54,0.54,0.12,206.01
2009-07-31,002180,22.51,25.84,26.45,21.95,565283,871956231.3,20.25,16.29,3.62,269.18
2009-08-31,002180,25.85,19.66,27.92,18.95,425911,664140082.34,34.71,-23.92,-6.18,202.81
2009-09-30,002180,19.54,21.01,24.74,19.48,352278,506399360.13,26.75,6.87,1.35,167.75
2009-10-30,002180,21.28,23.27,24.82,21.08,231381,351755093.1,17.8,10.76,2.26,110.18
2009-11-30,002180,22.67,30.65,31.33,22.4,746713,1335643076.64,38.38,31.71,7.38,355.58
2009-12-31,002180,31.04,35.54,40.64,30.23,1048754,2442746545.04,33.96,15.95,4.89,499.41
2010-01-29,002180,35.75,30.83,37.63,29.02,306296,701804747.51,24.23,-13.25,-4.71,145.86
