日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-29,002330,21.0,17.91,25.36,17.51,1747280,3863666584.93,59.56,35.89,4.73,346.68
2010-02-25,002330,17.77,18.5,18.7,15.65,387575,660069790.73,17.03,3.29,0.59,76.9
2010-03-31,002330,18.13,20.79,20.99,16.88,701319,1328513954.11,22.22,12.38,2.29,139.15
2010-04-30,002330,20.4,17.79,23.01,17.79,1171359,2467986418.76,25.11,-14.43,-3.0,185.93
2010-05-31,002330,17.58,17.99,19.8,16.26,325067,587479916.94,19.9,1.12,0.2,51.6
2010-06-30,002330,17.8,15.84,19.16,15.3,224348,406866651.07,21.46,-11.95,-2.15,35.61
2010-07-30,002330,15.88,17.87,18.7,14.2,213090,353677251.17,28.41,12.82,2.03,33.82
2010-08-31,002330,17.99,19.13,19.68,17.27,391436,721229455.37,13.49,7.05,1.26,62.13
2010-09-30,002330,19.2,18.7,20.78,18.1,359616,707530827.25,14.01,-2.25,-0.43,57.08
2010-10-29,002330,18.77,17.77,19.73,16.84,376608,674384599.29,15.45,-4.97,-0.93,59.78
2010-11-30,002330,17.77,19.33,20.5,17.1,671616,1253042907.66,19.13,8.78,1.56,106.61
2010-12-31,002330,19.2,17.58,19.44,16.96,399733,736524741.47,12.83,-9.05,-1.75,63.45
2011-01-31,002330,17.76,15.31,17.96,14.42,114981,187139630.66,20.14,-12.91,-2.27,18.25
2011-02-28,002330,15.41,15.99,16.49,15.2,160559,255231937.56,8.43,4.44,0.68,25.49
2011-03-31,002330,16.05,15.41,17.35,15.05,645778,1046179331.49,14.38,-3.63,-0.58,102.51
2011-04-29,002330,15.43,14.27,15.82,13.91,243437,368764694.42,12.39,-7.4,-1.14,38.64
2011-05-31,002330,14.25,13.32,15.0,13.08,180755,256545997.4,13.45,-6.66,-0.95,28.69
2011-06-30,002330,13.28,14.56,14.96,13.18,333954,471332707.56,13.36,9.31,1.24,53.01
2011-07-29,002330,14.61,13.93,15.5,13.78,537663,795060307.18,11.81,-4.33,-0.63,85.34
2011-08-31,002330,14.0,13.95,14.18,12.32,275850,376819840.04,13.35,0.14,0.02,43.79
2011-09-30,002330,13.95,12.46,14.29,12.38,169535,226811494.0,13.69,-10.68,-1.49,26.91
2011-10-31,002330,12.61,13.05,13.65,12.1,137634,177953892.0,12.44,4.74,0.59,21.85
2011-11-30,002330,13.0,12.96,14.6,12.76,301933,411115105.0,14.1,-0.69,-0.09,47.93
2011-12-30,002330,13.31,10.16,13.46,9.88,119674,138984753.0,27.62,-21.6,-2.8,19.0
2012-01-31,002330,10.18,9.26,10.27,8.66,77444,72896145.0,15.85,-8.86,-0.9,12.29
2012-02-29,002330,9.16,10.42,10.8,9.13,341574,351112674.0,18.03,12.53,1.16,54.22
2012-03-30,002330,10.41,9.58,11.25,9.48,468606,500615967.0,16.99,-8.06,-0.84,74.38
2012-04-27,002330,9.58,13.76,14.0,9.5,819826,1004496672.0,46.97,43.63,4.18,130.13
2012-05-31,002330,13.86,13.13,14.7,12.49,504627,684629125.0,16.06,-4.58,-0.63,80.1
2012-06-29,002330,13.1,11.5,13.7,11.16,186353,234342902.0,19.35,-12.41,-1.63,29.58
2012-07-31,002330,11.4,11.5,13.07,11.02,195975,233629147.0,17.83,0.0,0.0,31.11
2012-08-31,002330,11.5,10.32,12.69,10.21,142765,165140512.0,21.57,-10.26,-1.18,22.66
2012-09-28,002330,10.37,10.66,11.63,10.15,119630,127118139.0,14.34,3.29,0.34,18.99
2012-10-31,002330,10.66,10.33,11.0,10.25,58619,61091850.0,7.04,-3.1,-0.33,9.3
2012-11-30,002330,10.47,8.8,10.63,8.69,52928,50929595.0,18.78,-14.81,-1.53,8.4
2012-12-31,002330,8.72,9.74,9.96,7.63,112949,102851197.0,26.48,10.68,0.94,17.93
2013-01-31,002330,9.84,12.37,14.13,9.71,1102436,1358902006.0,45.38,27.0,2.63,71.72
2013-02-28,002330,12.34,12.38,13.35,11.9,454056,568256411.0,11.72,0.08,0.01,29.54
2013-03-29,002330,12.36,11.84,12.97,11.83,371218,452343234.0,9.21,-4.36,-0.54,24.15
2013-04-26,002330,12.07,11.1,12.38,10.48,421541,383159285.0,16.05,-6.25,-0.74,13.71
2013-05-31,002330,11.08,12.32,12.66,10.94,1327783,772677408.0,15.5,10.99,1.22,43.19
2013-06-28,002330,12.34,10.76,12.98,8.58,793327,438466404.0,35.71,-12.66,-1.56,25.81
2013-07-31,002330,10.68,10.6,11.14,9.26,781248,390172881.0,17.47,-1.49,-0.16,25.41
2013-08-30,002330,10.48,11.16,12.1,10.16,1256111,680239879.0,18.3,5.28,0.56,40.86
2013-09-30,002330,11.1,11.26,12.3,10.84,765148,431944604.0,13.08,0.9,0.1,24.89
2013-10-31,002330,11.2,10.2,11.84,9.86,505462,277404779.0,17.58,-9.41,-1.06,16.44
2013-11-29,002330,10.12,11.04,11.16,9.98,413450,214921717.0,11.57,8.24,0.84,13.45
2013-12-31,002330,10.64,11.12,12.14,10.22,898144,499248390.0,17.39,0.72,0.08,29.22
2014-01-30,002330,11.04,10.6,11.12,9.96,422694,219523529.0,10.43,-4.68,-0.52,13.75
2014-02-28,002330,10.6,10.86,11.76,10.32,731095,401671367.0,13.58,2.45,0.26,19.64
2014-03-31,002330,10.86,11.56,12.44,10.5,1189846,682403852.0,17.86,6.45,0.7,31.96
2014-04-30,002330,11.56,10.5,11.98,10.22,542371,302735230.0,15.22,-9.17,-1.06,14.57
2014-05-30,002330,10.4,10.94,11.16,10.14,369306,194326649.0,9.71,4.19,0.44,9.92
2014-06-30,002330,11.04,11.58,11.96,10.64,484541,270523710.0,12.07,5.85,0.64,13.02
2014-07-31,002330,11.58,12.86,13.98,11.48,2487955,1565753608.0,21.59,11.05,1.28,66.83
2014-08-18,002330,12.9,15.62,16.5,12.72,2601126,1931485893.0,29.39,21.46,2.76,69.87
2014-09-30,002330,15.86,15.12,16.0,14.48,628239,467441174.0,9.73,-3.2,-0.5,16.88
2014-10-31,002330,15.12,14.72,16.56,13.88,1327787,1008000115.0,17.72,-2.65,-0.4,35.67
2014-11-28,002330,14.76,15.64,15.76,13.78,1055298,773071190.0,13.45,6.25,0.92,28.35
2014-12-31,002330,15.68,13.92,16.52,12.86,1772916,1277690235.0,23.4,-11.0,-1.72,47.62
2015-01-30,002330,13.8,14.54,14.78,13.8,825227,582669561.0,7.04,4.45,0.62,18.88
2015-02-27,002330,14.42,14.42,14.54,12.84,572936,387866260.0,11.69,-0.83,-0.12,13.11
2015-03-31,002330,14.4,19.36,20.0,14.4,2451565,2077990080.0,38.83,34.26,4.94,56.08
2015-04-30,002330,19.36,27.08,28.04,18.46,2601808,2840346704.0,49.48,39.88,7.72,59.52
2015-05-29,002330,26.96,30.72,37.02,25.7,2297552,3571939315.0,41.8,13.44,3.64,52.56
