日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-02-28,688396,50.0,47.8,50.35,39.51,2467682,11144142566.0,84.69,273.44,35.0,104.06
2020-03-31,688396,52.98,32.38,55.0,32.28,7420055,32399891583.0,47.53,-32.26,-15.42,312.9
2020-04-30,688396,32.2,37.83,40.22,31.77,3196822,11247865672.0,26.1,16.83,5.45,134.81
2020-05-29,688396,37.38,38.43,44.41,37.0,4046978,16314071478.0,19.59,1.59,0.6,170.66
2020-06-30,688396,39.19,43.47,44.29,38.06,3791341,15654832566.0,16.21,13.11,5.04,159.88
2020-07-31,688396,44.69,57.34,65.8,43.53,7642756,40975688742.0,51.23,31.91,13.87,322.29
2020-08-31,688396,58.34,49.3,59.91,46.64,3567063,19318661023.0,23.14,-14.02,-8.04,143.23
2020-09-30,688396,49.28,56.19,57.1,45.63,3338107,17463261658.0,23.27,13.98,6.89,134.04
2020-10-30,688396,57.51,48.08,59.36,47.11,2211435,11730423492.0,21.8,-14.43,-8.11,88.8
2020-11-30,688396,48.39,61.53,63.53,46.14,3182320,17486230368.0,36.17,27.97,13.45,127.78
2020-12-31,688396,62.54,62.52,74.92,60.03,4307441,29324347808.0,24.2,1.61,0.99,172.96
2021-01-29,688396,62.13,60.12,74.03,59.11,3013014,20089065360.0,23.86,-3.84,-2.4,120.98
2021-02-26,688396,60.23,60.84,64.42,53.68,1558204,9249935120.0,17.86,1.2,0.72,62.57
2021-03-31,688396,61.63,55.84,69.72,51.56,1905204,11449834187.0,29.85,-8.22,-5.0,57.89
2021-04-30,688396,56.52,63.53,67.69,55.85,2325209,14490565808.0,21.2,13.77,7.69,70.65
2021-05-31,688396,63.51,62.23,65.42,55.03,1835411,11066404160.0,16.35,-2.05,-1.3,55.77
2021-06-30,688396,62.83,91.13,98.06,59.73,4828984,38833112192.0,61.59,46.44,28.9,146.72
2021-07-30,688396,90.11,100.11,104.58,78.22,4903834,43059728080.0,28.93,9.85,8.98,148.99
2021-08-31,688396,100.01,75.51,104.31,73.87,3548976,30502662272.0,30.41,-24.57,-24.6,107.83
2021-09-30,688396,75.51,68.96,77.21,67.42,2132251,15368545840.0,12.97,-8.67,-6.55,64.78
2021-10-29,688396,70.09,61.89,73.56,60.02,1918387,12740066144.0,19.63,-10.25,-7.07,44.27
2021-11-30,688396,62.11,71.69,75.81,61.73,3691282,25295597360.0,22.75,15.83,9.8,85.19
2021-12-31,688396,71.29,64.71,75.08,63.04,2708960,18519996992.0,16.79,-9.74,-6.98,62.52
2022-01-28,688396,64.77,54.8,65.05,54.71,1328943,7996561168.0,15.98,-15.31,-9.91,30.67
2022-02-28,688396,55.71,58.78,59.99,52.81,1441304,8166712336.0,13.1,7.26,3.98,32.67
2022-03-31,688396,58.99,54.88,61.73,53.64,2313159,13303456256.0,13.76,-6.63,-3.9,52.44
2022-04-29,688396,54.51,48.79,55.7,43.71,1372035,6686427600.0,21.85,-11.1,-6.09,31.1
2022-05-31,688396,48.59,52.99,53.21,45.72,1547891,7804057055.0,15.35,8.61,4.2,35.09
2022-06-30,688396,52.82,59.35,61.63,52.63,2295979,13317547344.0,16.98,12.0,6.36,52.05
