日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-02-28,300609,9.74,27.58,27.58,9.74,605,1324294.0,219.7,239.66,19.46,0.24
2017-03-31,300609,30.34,55.28,76.54,30.34,1226184,8447779955.0,167.51,100.44,27.7,490.47
2017-04-28,300609,54.08,43.79,58.56,38.2,454945,2120078423.0,36.83,-20.79,-11.49,181.98
2017-05-31,300609,43.8,36.59,44.38,35.33,337472,1371551263.0,20.67,-16.44,-7.2,134.99
2017-06-30,300609,36.26,34.47,37.2,31.83,368864,1273736019.0,14.68,-5.79,-2.12,147.55
2017-07-31,300609,34.35,48.25,55.04,34.35,1292390,6044643020.0,60.02,39.98,13.78,516.96
2017-08-31,300609,47.19,48.96,49.76,40.71,1027091,4618294400.0,18.76,1.47,0.71,410.84
2017-09-29,300609,48.78,48.69,57.79,47.18,981037,5072615982.0,21.67,-0.55,-0.27,392.41
2017-10-31,300609,49.45,42.56,50.69,40.79,316059,1458729575.0,20.33,-12.59,-6.13,126.42
2017-11-30,300609,42.45,34.79,45.88,33.38,265369,1086858793.0,29.37,-18.26,-7.77,106.15
2017-12-29,300609,34.99,36.3,42.39,33.35,342431,1288569277.0,25.98,4.34,1.51,136.97
2018-01-31,300609,36.42,33.4,38.18,33.4,310554,1106850388.0,13.17,-7.99,-2.9,124.22
2018-02-28,300609,33.4,28.73,33.98,23.64,173293,479467754.0,30.96,-13.98,-4.67,69.32
2018-03-30,300609,28.2,37.1,40.35,28.02,657694,2273498707.0,42.92,29.13,8.37,124.37
2018-04-27,300609,37.66,33.75,40.68,33.2,427652,1588408100.0,20.16,-9.03,-3.35,80.87
2018-05-31,300609,33.79,30.4,36.3,29.9,239122,822224505.0,18.96,-9.93,-3.35,45.22
2018-06-29,300609,30.12,30.2,32.95,26.96,147841,443883790.0,19.7,-0.66,-0.2,27.96
2018-07-31,300609,30.13,28.25,31.15,26.06,155516,430831854.0,16.85,-6.46,-1.95,29.41
2018-08-31,300609,28.54,28.48,29.4,25.96,160059,436951341.0,12.18,0.81,0.23,30.27
2018-09-28,300609,28.25,26.81,30.5,26.2,151224,427704204.0,15.1,-5.86,-1.67,28.6
2018-10-31,300609,25.98,22.97,26.7,20.45,108771,244723035.0,23.31,-14.32,-3.84,19.91
2018-11-30,300609,23.41,25.76,27.99,23.01,191653,480956089.0,21.68,12.15,2.79,34.92
2018-12-28,300609,26.35,27.58,29.93,24.99,202224,562582995.0,19.18,7.07,1.82,37.01
2019-01-31,300609,27.69,28.71,31.7,27.45,154113,446218042.0,15.41,4.1,1.13,28.08
2019-02-28,300609,28.95,38.45,40.1,28.56,172202,584288328.0,40.2,33.93,9.74,31.52
2019-03-29,300609,39.95,43.71,47.96,38.91,310516,1303490712.0,23.54,13.68,5.26,56.83
2019-04-30,300609,44.74,40.55,51.45,40.45,324817,1484344987.0,25.17,-7.23,-3.16,59.18
2019-05-31,300609,40.42,36.7,40.42,33.21,158520,568201929.0,17.78,-9.49,-3.85,28.88
2019-06-28,300609,36.7,35.76,38.3,33.95,150185,532740757.0,11.85,-2.56,-0.94,27.36
2019-07-31,300609,36.3,32.69,37.62,32.39,163101,562426932.0,14.63,-8.59,-3.07,29.72
2019-08-30,300609,32.43,40.2,44.13,29.7,395984,1530260064.0,44.14,22.97,7.51,72.15
