日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-02-28,300179,30.6,32.1,35.15,30.02,557902,1812946228.0,20.73,29.7,7.35,348.69
2011-03-31,300179,31.88,31.6,33.44,30.2,188465,598446517.0,10.09,-1.56,-0.5,117.79
2011-04-29,300179,31.5,32.39,37.19,31.2,117654,398417218.0,18.96,2.5,0.79,73.53
2011-05-31,300179,32.09,25.1,33.25,24.07,103595,290499715.0,28.34,-22.51,-7.29,51.8
2011-06-30,300179,24.8,25.63,27.01,24.4,37260,95854181.0,10.4,2.11,0.53,18.63
2011-07-29,300179,25.62,24.2,28.45,23.4,111320,289522516.0,19.7,-5.58,-1.43,55.66
2011-08-31,300179,25.08,28.32,30.57,23.5,278784,763984110.0,29.21,17.02,4.12,139.39
2011-09-30,300179,28.22,23.58,29.08,23.12,84335,223937553.0,21.05,-16.74,-4.74,42.17
2011-10-31,300179,23.78,23.1,25.06,20.68,59962,137822509.0,18.58,-2.04,-0.48,29.98
2011-11-30,300179,23.0,25.15,27.69,22.31,212064,528290971.0,23.29,8.87,2.05,106.03
2011-12-30,300179,25.98,20.06,26.19,18.28,73570,163552068.0,31.45,-20.24,-5.09,36.79
2012-01-31,300179,20.09,16.3,20.42,16.11,47325,84131303.0,21.49,-18.74,-3.76,23.66
2012-02-29,300179,16.18,20.13,21.61,15.4,153732,291223551.0,38.1,23.5,3.83,48.65
2012-03-30,300179,20.03,20.56,25.02,19.5,154643,342393961.0,27.42,2.14,0.43,48.94
2012-04-27,300179,20.13,19.98,22.08,19.27,36615,76616523.0,13.67,-2.82,-0.58,11.59
2012-05-31,300179,20.48,20.36,22.62,18.17,95984,151323513.0,22.27,1.9,0.38,20.25
2012-06-29,300179,20.36,18.62,20.45,17.57,181229,233034203.0,14.15,-8.55,-1.74,38.24
2012-07-31,300179,18.64,16.94,23.54,16.7,637315,891328282.0,36.73,-9.02,-1.68,134.46
2012-08-31,300179,16.87,18.23,20.48,15.86,295838,354912982.0,27.27,7.62,1.29,62.42
2012-09-28,300179,20.03,19.93,26.59,18.89,1118486,1701040852.0,42.24,9.33,1.7,232.31
2012-10-31,300179,19.78,20.59,22.6,19.34,479124,661543869.0,16.36,3.31,0.66,99.51
2012-11-30,300179,20.44,17.57,21.62,16.88,161195,211833834.0,23.02,-14.67,-3.02,33.48
2012-12-31,300179,17.39,21.5,21.95,16.0,379541,490165948.0,33.86,22.37,3.93,78.83
2013-01-31,300179,21.38,19.72,23.14,19.48,617573,863296965.0,17.02,-8.28,-1.78,128.27
2013-02-28,300179,19.72,21.31,21.38,19.61,280870,382037848.0,8.98,8.06,1.59,58.34
2013-03-29,300179,21.34,19.22,22.75,19.16,720120,1021732659.0,16.85,-9.81,-2.09,149.57
2013-04-26,300179,19.28,17.69,19.51,17.54,171085,211096562.0,10.25,-7.96,-1.53,35.53
2013-05-31,300179,17.78,21.81,22.84,17.75,690606,787987393.0,28.77,23.29,4.12,79.69
