日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-03-31,688502,153.0,214.0,258.0,153.0,556954,11294820645.0,150.6,206.94,144.28,461.76
2023-04-28,688502,210.1,207.9,288.0,193.92,315990,7469471825.0,43.96,-2.85,-6.1,261.98
2023-05-31,688502,209.0,207.19,218.99,164.11,175886,3377073139.0,26.4,-0.34,-0.71,145.83
2023-06-30,688502,205.7,192.7,211.7,161.7,166480,2952137911.0,24.13,-6.99,-14.49,136.46
2023-07-31,688502,191.7,170.63,220.39,166.84,183613,3530143211.0,27.79,-11.45,-22.07,150.51
2023-08-31,688502,170.84,223.7,236.28,169.5,162616,3147994910.0,39.14,31.1,53.07,133.29
2023-09-28,688502,222.9,232.66,273.7,202.26,264580,6044071225.0,31.94,4.01,8.96,207.28
2023-10-31,688502,227.7,219.7,242.83,188.7,99019,2122104378.0,23.27,-5.57,-12.96,77.57
2023-11-30,688502,217.01,220.42,250.7,208.11,176645,4035667607.0,19.39,0.33,0.72,138.39
2023-12-29,688502,218.3,217.69,223.22,201.85,79856,1688989700.0,9.7,-1.24,-2.73,62.56
2024-01-31,688502,217.68,112.7,218.58,111.05,140497,2136033302.0,49.4,-48.23,-104.99,109.48
2024-02-29,688502,112.7,128.7,136.03,86.29,171044,1975384470.0,44.13,14.2,16.0,133.28
2024-03-29,688502,130.58,110.58,139.7,107.7,211593,2692085815.0,24.86,-14.08,-18.12,129.3
2024-04-30,688502,110.15,94.53,114.0,84.03,130253,1243533601.0,27.1,-14.51,-16.05,80.27
2024-05-31,688502,96.2,115.09,123.23,85.78,220922,2240480824.0,39.62,21.75,20.56,136.15
2024-06-28,688502,115.09,94.36,120.93,93.48,188612,2031939892.0,23.85,-18.01,-20.73,116.24
2024-07-31,688502,94.36,91.93,99.23,81.82,146400,1300283066.0,18.45,-2.58,-2.43,90.22
2024-08-30,688502,91.55,81.35,99.84,72.65,126721,1076795930.0,29.58,-11.51,-10.58,78.1
2024-09-30,688502,81.07,105.22,105.22,71.45,142979,1142956197.0,41.51,29.34,23.87,88.12
2024-10-31,688502,125.99,220.35,220.35,111.26,478127,7822948333.0,103.68,109.42,115.13,294.66
2024-11-29,688502,241.35,269.18,368.23,201.35,437703,11494160977.0,75.73,22.16,48.83,269.75
2024-12-31,688502,267.35,202.75,301.35,202.63,357016,8603746620.0,36.67,-24.68,-66.43,220.02
2025-01-27,688502,202.34,237.33,277.07,184.35,318168,7560909237.0,45.73,17.06,34.58,196.08
2025-02-28,688502,237.33,240.65,287.21,227.35,293570,7460213648.0,25.22,1.4,3.32,180.92
2025-03-31,688502,240.64,260.01,343.35,226.35,297204,8122760684.0,48.62,8.04,19.36,176.91
2025-04-30,688502,263.78,293.8,327.23,227.43,235715,6701034158.0,38.38,13.0,33.79,140.31
2025-05-30,688502,292.88,240.22,333.35,239.57,174147,4855638344.0,31.92,-18.24,-53.58,103.66
2025-06-30,688502,238.35,289.22,291.5,238.35,184483,4843027989.0,22.13,20.4,49.0,109.81
2025-07-31,688502,285.56,334.06,381.56,265.98,287243,8817941028.0,39.96,15.5,44.84,170.98
2025-08-29,688502,330.06,452.09,482.56,322.6,330076,12505221653.0,47.88,35.33,118.03,196.47
2025-09-30,688502,455.56,440.69,491.78,377.61,337209,14508762744.0,25.25,-2.52,-11.4,200.72
2025-10-31,688502,433.79,368.71,439.69,357.79,180100,7015349018.0,18.58,-16.33,-71.98,107.2
2025-11-28,688502,367.2,347.63,373.43,331.89,150253,5273462032.0,11.27,-5.72,-21.08,89.44
2025-12-31,688502,351.19,400.74,432.69,323.89,300809,11539588446.0,31.3,15.28,53.11,179.05
2026-01-30,688502,400.45,392.58,452.69,371.75,266497,10976866400.0,20.2,-2.04,-8.16,158.63
