股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
600000,202512,1.4550089745810832,600000.SH,浦发银行,上海,银行,上海浦东发展银行股份有限公司,"Shanghai Pudong Development Bank Co.,Ltd.",PFYH,主板,SSE,19991110,无实际控制人,其他
601949,202512,1.4550089745810832,601949.SH,中国出版,北京,出版业,中国出版传媒股份有限公司,"China Publishing & Media Holdings Co., Ltd",ZGCB,主板,SSE,20170821,中国出版集团有限公司,中央企业
002304,202512,1.4550089745810832,002304.SZ,洋河股份,江苏,白酒,江苏洋河酒厂股份有限公司,"Jiangsu Yanghe Distillery Co., Ltd.",YHGF,主板,SZSE,20091106,宿迁市人民政府国有资产监督管理委员会,地方国有企业
601009,202512,1.4550089745810832,601009.SH,南京银行,江苏,银行,南京银行股份有限公司,"Bank Of Nanjing Co., Ltd",NJYH,主板,SSE,20070719,无实际控制人,其他
600369,202512,1.4550089745810832,600369.SH,西南证券,重庆,证券,西南证券股份有限公司,"Southwest Securities Co., Ltd.",XNZQ,主板,SSE,20010109,重庆市国有资产监督管理委员会,地方国有企业
601988,202512,1.4550089745810832,601988.SH,中国银行,北京,银行,中国银行股份有限公司,Bank Of China Limited,ZGYH,主板,SSE,20060705,中国投资有限责任公司,中央企业
601166,202512,1.4550089745810832,601166.SH,XD兴业银,福建,银行,兴业银行股份有限公司,"Industrial Bank Co., Ltd.",XYYH,主板,SSE,20070205,无实际控制人,其他
603056,202512,1.4550089745810832,603056.SH,德邦股份,上海,仓储物流,德邦物流股份有限公司,"Deppon Logistics Co., Ltd.",DBGF,主板,SSE,20180116,京东集团股份有限公司,外资
603992,202512,1.4550089745810832,603992.SH,松霖科技,福建,家居用品,厦门松霖科技股份有限公司,"Xiamen Solex High-Tech Industries Co., Ltd.",SLKJ,主板,SSE,20190826,周华松,民营企业
601577,202512,1.4550089745810832,601577.SH,长沙银行,湖南,银行,长沙银行股份有限公司,"Bank Of Changsha Co.,Ltd.",CSYH,主板,SSE,20180926,无实际控制人,其他
600901,202512,1.4550089745810832,600901.SH,江苏金租,江苏,多元金融,江苏金融租赁股份有限公司,"Jiangsu Financial Leasing Co., Ltd.",JSJZ,主板,SSE,20180301,江苏省政府国有资产监督管理委员会,地方国有企业
