股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
600232,202602,2.887664636718053,600232.SH,金鹰股份,浙江,纺织机械,浙江金鹰股份有限公司,"Zhejiang Golden Eagle Co.,Ltd.",JYGF,主板,SSE,20000602,傅国定,民营企业
000738,202602,2.887393511205949,000738.SZ,航发控制,江苏,航空,中国航发动力控制股份有限公司,"AECC Aero-Engine Control Co.,Ltd.",HFKZ,主板,SZSE,19970626,中国航空发动机集团有限公司,中央企业
601611,202602,2.8873424684700257,601611.SH,中国核建,上海,建筑工程,中国核工业建设股份有限公司,China Nuclear Engineering& Construction Corporation Limited,ZGHJ,主板,SSE,20160606,国务院国有资产监督管理委员会,中央企业
000733,202602,2.887261926408019,000733.SZ,振华科技,贵州,元器件,中国振华(集团)科技股份有限公司,"China Zhenhua (Group) Science & Technology Co.,Ltd",ZHKJ,主板,SZSE,19970703,国务院国有资产监督管理委员会,中央企业
603458,202602,2.887117081749681,603458.SH,勘设股份,贵州,建筑工程,贵州省交通规划勘察设计研究院股份有限公司,"Guizhou Transportation Planning Survey&Design Academe Co.,Ltd.",KSGF,主板,SSE,20170809,无实际控制人,其他
001206,202602,2.8867571306261395,001206.SZ,依依股份,天津,造纸,天津市依依卫生用品股份有限公司,"Tianjin Yiyi Hygiene Products Co., ltd.",YYGF,主板,SZSE,20210518,高福忠,民营企业
000721,202602,2.886612285967802,000721.SZ,西安饮食,陕西,酒店餐饮,西安饮食股份有限公司,"Xi'an Catering Co., Ltd.",XAYS,主板,SZSE,19970430,西安曲江新区管理委员会,地方国有企业
000715,202602,2.886459157760033,000715.SZ,中兴商业,辽宁,百货,中兴-沈阳商业大厦(集团)股份有限公司,"Zhongxing Shenyang Commercial Building Group Co., Ltd.",ZXSY,主板,SZSE,19970508,方威,民营企业
002438,202602,2.8863491163719424,002438.SZ,江苏神通,江苏,机械基件,江苏神通阀门股份有限公司,"Jiangsu Shentong Valve Co.,Ltd.",JSST,主板,SZSE,20100623,韩力,民营企业
600497,202602,2.8862417269559333,600497.SH,驰宏锌锗,云南,铅锌,云南驰宏锌锗股份有限公司,"Yunnan Chihong Zinc&Germanium Co.,Ltd.",CHXZ,主板,SSE,20040420,国务院国有资产监督管理委员会,中央企业
001332,202602,2.8860779908598384,001332.SZ,锡装股份,江苏,专用机械,无锡化工装备股份有限公司,"Wuxi Chemical Equipment Co., Ltd.",XZGF,主板,SZSE,20220920,曹洪海,民营企业
000735,202602,2.8859679494717474,000735.SZ,罗牛山,海南,农业综合,罗牛山股份有限公司,"Luoniushan Co., Ltd.",LNS,主板,SZSE,19970611,徐自力,民营企业
600730,202602,2.885857908083657,600730.SH,中国高科,北京,文教休闲,中国高科集团股份有限公司,"China Hi-Tech Group Co.,Ltd.",ZGGK,主板,SSE,19960726,无实际控制人,其他
600587,202602,2.8858390166459,600587.SH,新华医疗,山东,医疗保健,山东新华医疗器械股份有限公司,"Shinva Medical Instrument Co., Ltd.",XHYL,主板,SSE,20020927,山东省人民政府国有资产监督管理委员会,地方国有企业
002767,202602,2.885562587189632,002767.SZ,先锋电子,浙江,电器仪表,杭州先锋电子技术股份有限公司,"Hangzhou Innover Technology Co., Ltd.",XFDZ,主板,SZSE,20150612,石义民,民营企业
600460,202602,2.885412110953945,600460.SH,士兰微,浙江,半导体,杭州士兰微电子股份有限公司,"Hangzhou Silan Microelectronics Co.,Ltd.",SLW,主板,SSE,20030311,陈向东,民营企业
000716,202602,2.8850604433798344,000716.SZ,黑芝麻,广西,食品,南方黑芝麻集团股份有限公司,"Nanfang Black Sesame Group Co., Ltd.",HZM,主板,SZSE,19970418,广西壮族自治区人民政府国有资产监督管理委员会,地方国有企业
600611,202602,2.8844993009178688,600611.SH,大众交通,上海,公共交通,大众交通(集团)股份有限公司,"Dazhong Transportation(Group)Co.,Ltd.",DZJT,主板,SSE,19920807,上海大众职工持股会,其他
002448,202602,2.884410802939617,002448.SZ,中原内配,河南,汽车配件,中原内配集团股份有限公司,ZYNP Corporation,ZYNP,主板,SZSE,20100716,薛德龙,民营企业
000586,202602,2.884281870113769,000586.SZ,汇源通信,四川,通信设备,四川汇源光通信股份有限公司,"Sichuan Huiyuan Optical Communications Co.,Ltd.",HYTX,主板,SZSE,19951220,无实际控制人,其他
