ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol_num,market_id
399703.SZ,深证F200,SZSE,深圳证券交易所,策略指数,20021231,1000,20100510,399703,0
399704.SZ,深证上游,SZSE,深圳证券交易所,主题指数,20021231,1000,20111018,399704,0
399705.SZ,深证中游,SZSE,深圳证券交易所,主题指数,20021231,1000,20111018,399705,0
399706.SZ,深证下游,SZSE,深圳证券交易所,主题指数,20021231,1000,20111018,399706,0
399707.SZ,CSSW证券,SZSE,中证指数有限公司,行业指数,19991231,1000,20150416,399707,0
399750.SZ,深主板50,SZSE,深圳证券交易所,规模指数,20041231,1000,20231115,399750,0
399802.SZ,500深市,SZSE,中证指数有限公司,主题指数,20041231,1000,20120905,399802,0
399803.SZ,工业4.0,SZSE,中证指数有限公司,主题指数,20120629,1000,20150213,399803,0
399804.SZ,中证体育,SZSE,中证指数有限公司,主题指数,20120629,1000,20150209,399804,0
399805.SZ,互联金融,SZSE,中证指数有限公司,主题指数,20120629,1000,20150210,399805,0
399806.SZ,环境治理,SZSE,中证指数有限公司,主题指数,20111230,1000,20140721,399806,0
399807.SZ,高铁产业,SZSE,中证指数有限公司,主题指数,20121231,1000,20150120,399807,0
399808.SZ,中证新能,SZSE,中证指数有限公司,主题指数,20111231,1000,20150210,399808,0
399809.SZ,保险主题,SZSE,中证指数有限公司,主题指数,20111231,1000,20150213,399809,0
399810.SZ,CSSW传媒,SZSE,中证指数有限公司,行业指数,20041231,1000,20150803,399810,0
399811.SZ,CSSW电子,SZSE,中证指数有限公司,行业指数,20041231,1000,20150803,399811,0
399812.SZ,养老产业,SZSE,中证指数有限公司,主题指数,20041231,1000,20140606,399812,0
399813.SZ,中证国安,SZSE,中证指数有限公司,主题指数,20081231,1000,20150129,399813,0
399814.SZ,大农业,SZSE,中证指数有限公司,主题指数,20131231,1000,20140722,399814,0
399850.SZ,深证50,SZSE,深圳证券交易所,规模指数,20021231,1000,20231018,399850,0
399852.SZ,中证1000,SZSE,中证指数有限公司,规模指数,20041231,1000,20141017,399852,0
399901.SZ,小康指数,SZSE,中证指数有限公司,主题指数,20051230,1000,20100401,399901,0
399903.SZ,中证100,SZSE,中证指数有限公司,规模指数,20051230,1000,20060529,399903,0
399905.SZ,中证500,SZSE,中证指数有限公司,规模指数,20041231,1000,20070115,399905,0
399913.SZ,沪深300医药,SZSE,中证指数有限公司,一级行业指数,20041231,1000,20070702,399913,0
399914.SZ,沪深300金融,SZSE,中证指数有限公司,主题指数,20041231,1000,20070702,399914,0
399928.SZ,800能源,SZSE,中证指数有限公司,一级行业指数,20041231,1000,20090703,399928,0
399932.SZ,800消费,SZSE,中证指数有限公司,一级行业指数,20041231,1000,20090703,399932,0
399933.SZ,800医药,SZSE,中证指数有限公司,一级行业指数,20041231,1000,20090703,399933,0
399934.SZ,800金地,SZSE,中证指数有限公司,主题指数,20041231,1000,20090703,399934,0
399935.SZ,800信息,SZSE,中证指数有限公司,一级行业指数,20041231,1000,20090703,399935,0
399959.SZ,军工指数,SZSE,中证指数有限公司,主题指数,20110630,1000,20110830,399959,0
399965.SZ,800地产,SZSE,中证指数有限公司,一级行业指数,20041231,1000,20121221,399965,0
399966.SZ,中证800证保,SZSE,中证指数有限公司,主题指数,20041231,1000,20121221,399966,0
399967.SZ,中证军工,SZSE,中证指数有限公司,主题指数,20041231,1000,20131226,399967,0
399970.SZ,中证移动互联,SZSE,中证指数有限公司,主题指数,20120629,1000,20140505,399970,0
399971.SZ,中证传媒,SZSE,中证指数有限公司,主题指数,20101231,1000,20140415,399971,0
