date,type,limit,target,price,count,completed
202409,buy,False,603687,5.84,171200,True
202409,buy,False,000009,7.54,132600,True
202409,buy,False,002723,5.01,199600,True
202409,buy,False,601888,58.95,16900,True
202409,buy,False,002201,4.19,238600,True
202409,buy,False,605266,18.4,54300,True
202409,buy,False,600595,2.43,411500,True
202409,buy,False,603178,19.02,52500,True
202409,buy,False,600630,7.27,137500,True
202409,buy,False,603305,8.57,116600,True
202410,sell,False,000009,10.54,132600,True
202410,sell,False,002201,5.52,238600,True
202410,sell,False,002723,6.72,199600,True
202410,sell,False,600595,3.33,411500,True
202410,sell,False,600630,9.68,137500,True
202410,sell,False,601888,83.87,16900,True
202410,sell,False,603178,24.71,52500,True
202410,sell,False,603305,11.68,116600,True
202410,sell,False,603687,7.76,171200,True
202410,sell,False,605266,25.65,54300,True
202410,buy,False,603687,7.76,174700,True
202410,buy,False,002723,6.72,201800,True
202410,buy,False,002748,6.2,218700,True
202410,buy,False,002042,4.02,337300,True
202410,buy,False,600654,2.82,480900,True
202410,buy,False,002201,5.52,245700,True
202410,buy,False,605366,6.71,202100,True
202410,buy,False,002397,2.69,504200,True
202410,buy,False,600200,11.59,117000,True
202410,buy,False,002196,5.85,231800,True
202411,sell,False,002042,3.82,337300,True
202411,sell,False,002196,5.26,231800,True
202411,sell,False,002201,5.39,245700,True
202411,sell,False,002397,2.64,504200,True
202411,sell,False,002723,6.01,201800,True
202411,sell,False,002748,6.42,218700,True
202411,sell,False,600200,10.0,117000,True
202411,sell,False,600654,2.72,480900,True
202411,sell,False,603687,7.44,174700,True
202411,sell,False,605366,6.25,202100,True
202411,buy,False,600884,9.02,142100,True
202411,buy,False,000600,5.11,250900,True
202411,buy,False,603728,46.27,27700,True
202411,buy,False,600955,14.95,85700,True
202411,buy,False,603187,11.1,115500,True
202411,buy,False,002015,7.98,160600,True
202411,buy,False,603610,9.21,139200,True
202411,buy,False,600759,2.44,525500,True
202411,buy,False,000529,5.62,228100,True
202411,buy,False,600027,5.68,225700,True
202412,sell,False,000529,6.29,228100,True
202412,sell,False,000600,5.01,250900,True
202412,sell,False,002015,8.01,160600,True
202412,sell,False,600027,5.05,225700,True
202412,sell,False,600759,3.09,525500,True
202412,sell,False,600884,8.7,142100,True
202412,sell,False,600955,14.94,85700,True
202412,sell,False,603187,10.9,115500,True
202412,sell,False,603610,10.16,139200,True
202412,sell,False,603728,55.22,27700,True
202412,buy,False,600884,8.7,154700,True
202412,buy,False,601020,14.36,93700,True
202412,buy,False,000600,5.01,268700,True
202412,buy,False,600547,23.86,56400,True
202412,buy,False,603187,10.9,123500,True
202412,buy,False,600027,5.05,266600,True
202412,buy,False,000539,4.64,290200,True
202412,buy,False,600955,14.94,90100,True
202412,buy,False,000537,9.09,148100,True
202412,buy,False,000993,9.05,148700,True
