date,turnover,F-Score,EP,BM,ROE,VOL,MAX,TO,ABTO,ILL,momentum_n1_s0
201512,-0.07908505288427606,0.009053345235916558,-0.029130226052075936,0.1109523228262681,-0.11053120419901576,-0.15850759208579873,-0.1715065890521881,-0.05715290154085379,-0.06566918420399744,0.17373302874389676,-0.1758396152237993
201601,-0.3850791431671851,0.11953143543739092,0.38521107114922865,0.2816449021597233,0.25029447695704926,-0.3135092673669205,-0.2733951616994503,-0.31127442273096007,-0.08531365520766272,-0.030262118590283146,-0.12484320110616474
201602,-0.09891749295660339,0.08229163774745722,0.036972354246704094,0.1363473987316016,-0.0644468329633639,-0.08903924564080402,-0.10303272218288069,-0.0625980608602562,-0.02389098588977693,0.05284343876887944,-0.06028426375779366
201603,0.26877053156385305,-0.09792739362465971,-0.17855364297075535,-0.15586895743261556,-0.10097201709873134,0.3055062983043916,0.1275237909138757,0.236023108641511,-0.004853203879268529,0.18469329507600357,-0.2964983648497366
201604,-0.12862316785338312,0.05421317046827325,-0.01736762741931944,0.06131527106523301,-0.07046133756544146,-0.1742861681373927,-0.16537247229954607,-0.033621202696108035,-0.14886631442238638,0.2621422167728829,-0.05914817722261599
201605,-0.12384215977888582,0.014244865209013448,0.21959956338892558,0.03222118577009295,0.27141664428196466,-0.13292986248443706,-0.14370190465084096,-0.09074599850869254,-0.09067415395127157,-0.08486936996472193,-0.11579505676249575
201606,0.2934951413576846,-0.054689873506359656,-0.15290148894369548,-0.22088862471433385,0.019171026496493753,0.22311862368482932,0.20083253770343878,0.26211576889884375,0.048261941144521266,0.1118989991309402,-0.021162842439615796
201607,-0.46201612229027095,0.1141955673466834,0.30598523289708224,0.304261288005601,0.12163887677361768,-0.4786952754445412,-0.45233772786811827,-0.3602616630362047,-0.21669143810050995,0.05058134530839697,-0.3210238902423761
201608,-0.07337886298023977,-0.038493634137567706,-0.03677057701072988,0.12787337949684977,-0.1613846840841556,-0.1573211733356464,-0.16587447216284784,0.01945062947121177,-0.16947054925281058,0.2170454600163691,-0.10039237333584909
201609,-0.17488116625479133,0.08799957196254105,0.03761316731944965,0.13552489932921605,-0.06544175850197602,-0.14980291265559575,-0.1012138190551057,-0.15904959582251277,-0.0019634672084613888,0.28790569277488426,0.09468831904874368
201610,0.06504096079647963,-0.005171301635690899,-0.08654694813285777,-0.03826748579215291,-0.07674075031423777,0.01602378439117883,-0.07425804723652568,0.12189621944368463,-0.0902390013242191,0.15499247267326055,-0.16500181762321064
201611,-0.06711181663028208,0.04158490526224373,0.048986703288877644,0.1760862363843989,-0.043969270894152174,-0.127330726496569,-0.0906739689557659,-0.06146974418921386,-0.02115881923603213,0.054272493492960996,-0.036252036712664706
201612,-0.22101060813256837,0.12062830944204957,0.0929957908702673,0.20972268982362854,-0.06800288909778338,-0.11414055554661484,-0.08562775288758417,-0.2728254841550939,0.13534469809058022,0.21309970970894235,-0.014964622316632934
