股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
603579,202601,2.636909213282112,603579.SH,荣泰健康,上海,家用电器,上海荣泰健康科技股份有限公司,Shanghai Rongtai Health Technology Corporation Limited,rtjk,主板,SSE,20170111,林琪,民营企业
000428,202601,2.636712009217836,000428.SZ,华天酒店,湖南,酒店餐饮,华天酒店集团股份有限公司,"Huatian Hotel Group Co.,Ltd.",htjd,主板,SZSE,19960808,湖南省人民政府国有资产监督管理委员会,地方国企
603037,202601,2.6364028092009564,603037.SH,凯众股份,上海,汽车配件,上海凯众材料科技股份有限公司,"Shanghai Carthane Co., Ltd",kzgf,主板,SSE,20170120,杨颖韬,民营企业
000637,202601,2.636359744888304,000637.SZ,茂化实华,广东,石油加工,茂名石化实华股份有限公司,"Maoming Petro-Chemical Shihua Co.,Ltd",mhsh,主板,SZSE,19961114,刘军,民营企业
600310,202601,2.636165957699103,600310.SH,广西能源,广西,水力发电,广西能源股份有限公司,"Guangxi Energy Co.,Ltd.",gxny,主板,SSE,20010228,贺州市人民政府国有资产监督管理委员会,地方国企
600288,202601,2.6355508570528303,600288.SH,大恒科技,北京,元器件,大恒新纪元科技股份有限公司,"Daheng New Epoch Technology, Inc.",dhkj,主板,SSE,20001129,周骐,民营企业
600249,202601,2.635420444929166,600249.SH,两面针,广西,日用化工,柳州两面针股份有限公司,"Liuzhou Liangmianzhen Co.,Ltd.",lmz,主板,SSE,20040130,柳州市人民政府国有资产监督管理委员会,地方国企
002636,202601,2.635253408243044,002636.SZ,金安国纪,上海,元器件,金安国纪集团股份有限公司,Goldenmax International Group Ltd.,jagj,主板,SZSE,20111125,韩涛,民营企业
603408,202601,2.6341078301433742,603408.SH,建霖家居,福建,家居用品,厦门建霖健康家居股份有限公司,Runner(Xiamen) Corp.,jljj,主板,SSE,20200730,吕理镇,外资企业
002858,202601,2.633619394560553,002858.SZ,力盛体育,上海,文教休闲,力盛云动(上海)体育科技股份有限公司,"Lisheng Sports (Shanghai) Co.,Ltd",lsty,主板,SZSE,20170324,夏青,民营企业
002103,202601,2.6329962712032478,002103.SZ,广博股份,浙江,文教休闲,广博集团股份有限公司,"Guangbo Group Stock Co.,Ltd",gbgf,主板,SZSE,20070110,王利平,民营企业
002849,202601,2.6328902261709994,002849.SZ,威星智能,浙江,电器仪表,浙江威星智能仪表股份有限公司,"Zhejiang Viewshine Intelligent Meter Co.,Ltd",wxzn,主板,SZSE,20170217,黄文谦,民营企业
603856,202601,2.6318489945561048,603856.SH,东宏股份,山东,塑料,山东东宏管业股份有限公司,"Shandong Donghong Pipe Industry Co.,Ltd.",dhgf,主板,SSE,20171106,倪立营,民营企业
603231,202601,2.631553922294815,603231.SH,索宝蛋白,浙江,食品,宁波索宝蛋白科技股份有限公司,"Solbar Ningbo Protein Technology Co., Ltd.",sbdb,主板,SSE,20231215,刘季善,民营企业
000720,202601,2.631515594451734,000720.SZ,新能泰山,山东,电气设备,山东新能泰山发电股份有限公司,"Shandong Xinneng Taishan Power Generation Co.,Ltd.",xnts,主板,SZSE,19970509,国务院国有资产监督管理委员会,中央国企
603661,202601,2.6314479528226435,603661.SH,恒林股份,浙江,家居用品,恒林家居股份有限公司,"Henglin Home Furnishings Co.,Ltd",hlgf,主板,SSE,20171121,王江林,民营企业
002322,202601,2.631115870299701,002322.SZ,理工能科,浙江,软件服务,宁波理工环境能源科技股份有限公司,"Ningbo Ligong Environment and Energy Technology Co.,Ltd.",lgnk,主板,SZSE,20091218,周方洁,民营企业
002688,202601,2.630139565321395,002688.SZ,金河生物,内蒙,农业综合,金河生物科技股份有限公司,"Jinhe Biotechnology Co.,Ltd.",jhsw,主板,SZSE,20120713,王东晓,民营企业
003010,202601,2.6287986712996587,003010.SZ,若羽臣,广东,互联网,广州若羽臣科技股份有限公司,"Guangzhou Ruoyuchen Technology Co.,Ltd.",ryc,主板,SZSE,20200925,王玉,民营企业
603969,202601,2.6286064576702755,603969.SH,银龙股份,天津,其他建材,天津银龙预应力材料股份有限公司,"Silvery Dragon Prestressed Materials Co., Ltd.Tianjin",ylgf,主板,SSE,20150227,谢铁桥,民营企业
002838,202601,2.628446689195229,002838.SZ,道恩股份,山东,塑料,山东道恩高分子材料股份有限公司,"Shandong Dawn Polymer Co.,Ltd.",degf,主板,SZSE,20170106,于晓宁,民营企业
