日期,代码,名称,开盘,收盘,最高,最低,成交量,成交额,上涨家数,下跌家数
2010-07-30,399685,深成医药,996.13,1095.41,1111.26,904.32,326396.0,61065142272.0,0,0
2010-08-31,399685,深成医药,1097.68,1196.21,1199.41,1083.23,490416.0,94217363456.0,0,0
2010-09-30,399685,深成医药,1196.98,1241.34,1276.37,1160.96,437127.0,88727814144.0,0,0
2010-10-29,399685,深成医药,1251.32,1299.86,1360.3,1163.39,501480.0,114700148736.0,0,0
2010-11-30,399685,深成医药,1311.6,1367.32,1456.0,1266.47,781271.0,170579492864.0,0,0
2010-12-31,399685,深成医药,1353.71,1295.44,1370.83,1216.9,374344.0,83048488960.0,0,0
2011-01-31,399685,深成医药,1300.75,1173.13,1321.88,1118.28,243955.0,59290288128.0,0,0
2011-02-28,399685,深成医药,1174.42,1253.49,1256.02,1159.56,280517.0,64089276416.0,0,0
2011-03-31,399685,深成医药,1255.98,1190.91,1278.1,1187.56,695174.0,135095640064.0,0,0
2011-04-29,399685,深成医药,1193.72,1159.71,1255.01,1143.57,476060.0,92381831168.0,0,0
2011-05-31,399685,深成医药,1155.85,1086.0,1194.43,1070.0,304815.0,59147018240.0,0,0
2011-06-30,399685,深成医药,1084.36,1112.0,1121.57,1027.99,313011.0,51277209600.0,0,0
2011-07-29,399685,深成医药,1115.53,1147.04,1227.23,1112.35,482669.0,89937887232.0,0,0
2011-08-31,399685,深成医药,1147.17,1125.16,1156.04,1047.37,381033.0,73119064064.0,0,0
2011-09-30,399685,深成医药,1128.7,986.49,1133.42,977.4,226644.0,33811769344.0,0,0
2011-10-31,399685,深成医药,991.39,1011.15,1021.66,929.47,183164.0,28166264832.0,0,0
2011-11-30,399685,深成医药,1003.64,1026.99,1075.29,1001.7,355526.0,61028118528.0,0,0
2011-12-30,399685,深成医药,1051.07,876.03,1064.24,844.0,242745.0,39698358272.0,0,0
2012-01-31,399685,深成医药,881.99,832.28,882.51,790.73,186660.0,28664154112.0,0,0
2012-02-29,399685,深成医药,829.48,921.65,947.68,828.64,442290.0,58788683776.0,0,0
2012-03-30,399685,深成医药,918.41,848.71,967.78,844.65,385127.0,62566363136.0,0,0
2012-04-27,399685,深成医药,849.48,884.75,909.27,847.36,288018.0,40217636864.0,0,0
2012-05-31,399685,深成医药,898.3,924.3,953.85,888.8,473258.0,69295325184.0,0,0
2012-06-29,399685,深成医药,926.55,947.25,981.19,914.58,358901.0,57402130432.0,0,0
2012-07-31,399685,深成医药,951.58,912.27,984.6,911.66,328257.0,68482359296.0,0,0
2012-08-31,399685,深成医药,913.02,896.8,982.74,888.8,258926.0,53144846336.0,0,0
2012-09-28,399685,深成医药,891.55,927.02,958.24,891.55,218547.0,42225168384.0,0,0
2012-10-31,399685,深成医药,926.39,962.41,989.28,919.75,201891.0,40037421056.0,0,0
2012-11-30,399685,深成医药,963.48,858.57,977.35,847.82,179673.0,32093923328.0,0,0
2012-12-31,399685,深成医药,856.49,963.42,963.42,827.79,315375.0,50304851968.0,0,0
2013-01-31,399685,深成医药,965.82,1088.48,1103.09,935.72,533048.0,93416972288.0,0,0
2013-02-28,399685,深成医药,1092.08,1170.2,1198.16,1069.63,404024.0,75138826240.0,0,0
2013-03-29,399685,深成医药,1171.59,1192.2,1236.64,1130.95,533733.0,100946165760.0,0,0
2013-04-26,399685,深成医药,1202.68,1123.55,1202.68,1101.76,397388.0,78394105856.0,0,0
2013-05-31,399685,深成医药,1114.67,1242.23,1257.63,1112.28,544244.0,106976018432.0,0,0
2013-06-28,399685,深成医药,1241.4,1107.47,1246.44,1013.79,311620.0,63010209792.0,0,0
2013-07-31,399685,深成医药,1100.75,1204.62,1273.39,1100.59,532511.0,102861594624.0,0,0
2013-08-30,399685,深成医药,1207.98,1207.57,1283.08,1195.58,523254.0,98030256128.0,0,0
2013-09-30,399685,深成医药,1206.69,1296.22,1301.07,1195.63,450088.0,82515566592.0,0,0
2013-10-31,399685,深成医药,1293.66,1213.11,1325.38,1188.21,474341.0,92602761216.0,0,0
2013-11-29,399685,深成医药,1209.76,1248.43,1249.13,1156.64,332794.0,66132819968.0,0,0
2013-12-31,399685,深成医药,1219.1,1259.21,1264.48,1194.92,431132.0,90094895104.0,0,0
2014-01-30,399685,深成医药,1260.62,1297.23,1306.35,1236.34,437638.0,95516614656.0,0,0
