日期,代码,名称,开盘,收盘,最高,最低,成交量,成交额,上涨家数,下跌家数
2016-12-30,000867,港中小企,2803.22,2823.15,2853.14,2743.92,895835.0,46372634624.0,0,0
2017-01-26,000867,港中小企,2836.06,3016.28,3016.53,2821.93,1442278.0,84633804800.0,0,0
2017-02-28,000867,港中小企,3003.87,3127.35,3202.46,2979.51,2170333.0,129790861312.0,0,0
2017-03-31,000867,港中小企,3140.46,3154.94,3291.13,3129.41,2856513.0,170873012224.0,0,0
2017-04-28,000867,港中小企,3218.55,3174.84,3236.0,3127.96,1783782.0,119754915840.0,0,0
2017-05-31,000867,港中小企,3197.58,3176.57,3199.59,3086.16,1884080.0,124640346112.0,0,0
2017-06-30,000867,港中小企,3180.9,3254.82,3269.14,3171.25,1966422.0,132439056384.0,0,0
2017-07-31,000867,港中小企,3262.14,3355.3,3381.82,3221.76,1811460.0,133127168000.0,0,0
2017-08-31,000867,港中小企,3365.89,3399.55,3422.33,3281.58,2134939.0,152846696448.0,0,0
2017-09-29,000867,港中小企,3408.62,3489.19,3604.18,3399.47,2216586.0,154631995392.0,0,0
2017-10-31,000867,港中小企,3605.07,3588.88,3637.92,3543.04,1571520.0,123662884864.0,0,0
2017-11-30,000867,港中小企,3602.25,3483.05,3682.08,3471.47,1993514.0,187169406976.0,0,0
2017-12-29,000867,港中小企,3507.68,3688.01,3691.07,3350.35,1776541.0,174132609024.0,0,0
2018-01-31,000867,港中小企,3704.06,3931.5,4082.98,3703.62,3203904.0,270135197696.0,0,0
2018-02-28,000867,港中小企,3966.41,3753.01,3984.94,3442.12,1888777.0,156294873088.0,0,0
2018-03-29,000867,港中小企,3753.32,3705.34,3924.11,3649.96,2149205.0,197235326976.0,0,0
2018-04-27,000867,港中小企,3697.36,3690.45,3836.45,3615.32,1753188.0,153288425472.0,0,0
2018-05-31,000867,港中小企,3749.51,3922.35,3963.12,3704.75,2291030.0,191828721664.0,0,0
2018-06-29,000867,港中小企,3938.34,3572.84,3995.31,3464.67,2384714.0,175484387328.0,0,0
2018-07-31,000867,港中小企,3585.75,3513.03,3609.18,3363.67,2459166.0,120121851904.0,0,0
